experiment,model,feature_count,input_dim,split,mae,rmse
price_only,Random Forest,22,22,test,0.008678398095071316,0.011629275046288967
price_micro_macro,Random Forest,32,32,test,0.008678640238940716,0.011629069223999977
price_macro,Random Forest,30,30,test,0.008679422549903393,0.011629712767899036
price_micro,Random Forest,24,24,test,0.008682048879563808,0.01163098681718111
top_20_rf,Random Forest,20,20,test,0.00869215838611126,0.011647173203527927
top_30_rf,Linear Regression,30,30,test,0.008718346245586872,0.011614407412707806
price_only,Linear Regression,22,22,test,0.008718711324036121,0.011649216525256634
price_macro,Linear Regression,30,30,test,0.00871871318668127,0.011649219319224358
price_micro,Linear Regression,24,24,test,0.00871871318668127,0.011649219319224358
price_micro_macro,Linear Regression,32,32,test,0.008718714118003845,0.011649219319224358
price_industry_news,Linear Regression,49,49,test,0.008724482730031013,0.011631830595433712
top_10_rf,Random Forest,10,10,test,0.008726315572857857,0.01167880930006504
full_59,Linear Regression,59,59,test,0.008728786371648312,0.011639503762125969
top_30_rf,Random Forest,30,30,test,0.00874151661992073,0.011656504124403
full_59,Random Forest,59,59,test,0.008744626305997372,0.01166242454200983
top_20_rf,Linear Regression,20,20,test,0.008745362982153893,0.011691080406308174
price_industry_news,Random Forest,49,49,test,0.008747504092752934,0.01166442222893238
top_10_rf,Linear Regression,10,10,test,0.008763715624809265,0.011706506833434105
top_30_rf,Selected One-Hop Graph MLP,30,60,test,0.009618307463824749,0.012999898754060268
price_industry_news,Selected One-Hop Graph MLP,49,98,test,0.009730587713420391,0.013227025046944618
price_only,Selected One-Hop Graph MLP,22,44,test,0.0097996536642313,0.013376559130847454
price_micro_macro,Selected One-Hop Graph MLP,32,64,test,0.009897052310407162,0.013543019071221352
price_macro,Selected One-Hop Graph MLP,30,60,test,0.009937542490661144,0.013648358173668385
price_micro,Selected One-Hop Graph MLP,24,48,test,0.009973161853849888,0.013712611980736256
top_10_rf,Selected One-Hop Graph MLP,10,20,test,0.00997722614556551,0.01368661504238844
top_20_rf,Selected One-Hop Graph MLP,20,40,test,0.010045002214610577,0.01382848247885704
full_59,Selected One-Hop Graph MLP,59,118,test,0.010151669383049011,0.013926077634096146
full_59,Selected One-Hop Graph MLP,59,118,validation,0.00952215027064085,0.014314716681838036
price_industry_news,Selected One-Hop Graph MLP,49,98,validation,0.009708128869533539,0.014065702445805073
top_30_rf,Selected One-Hop Graph MLP,30,60,validation,0.009818126447498798,0.014060228131711483
top_20_rf,Selected One-Hop Graph MLP,20,40,validation,0.009895124472677708,0.014538876712322235
top_10_rf,Selected One-Hop Graph MLP,10,20,validation,0.009896713308990002,0.014378280378878117
price_micro,Selected One-Hop Graph MLP,24,48,validation,0.009914753027260303,0.014422085136175156
price_macro,Selected One-Hop Graph MLP,30,60,validation,0.009958066046237946,0.014463736675679684
price_micro_macro,Selected One-Hop Graph MLP,32,64,validation,0.009988312609493732,0.014478044584393501
full_59,Linear Regression,59,59,validation,0.01002228632569313,0.014228608459234238
price_industry_news,Linear Regression,49,49,validation,0.010028197430074215,0.014234937727451324
price_only,Selected One-Hop Graph MLP,22,44,validation,0.010028263553977013,0.014379122294485569
top_30_rf,Linear Regression,30,30,validation,0.010029873810708523,0.014247008599340916
full_59,Random Forest,59,59,validation,0.010138892568647861,0.01447752583771944
price_industry_news,Random Forest,49,49,validation,0.010141359642148018,0.014480780810117722
top_30_rf,Random Forest,30,30,validation,0.010141521692276001,0.01447854284197092
top_10_rf,Random Forest,10,10,validation,0.01016337238252163,0.01456890907138586
top_20_rf,Random Forest,20,20,validation,0.010182080790400505,0.014584869146347046
price_macro,Random Forest,30,30,validation,0.010193629190325737,0.0145637895911932
price_micro_macro,Random Forest,32,32,validation,0.01019378937780857,0.014563347212970257
price_only,Random Forest,22,22,validation,0.010194131173193455,0.014564727433025837
price_micro,Random Forest,24,24,validation,0.010195405222475529,0.014566351659595966
price_only,Linear Regression,22,22,validation,0.010241901502013206,0.014514395035803318
price_macro,Linear Regression,30,30,validation,0.010241912677884102,0.014514409936964512
price_micro,Linear Regression,24,24,validation,0.010241912677884102,0.014514409936964512
price_micro_macro,Linear Regression,32,32,validation,0.010241912677884102,0.014514409936964512
top_20_rf,Linear Regression,20,20,validation,0.010296995751559734,0.014560120180249214
top_10_rf,Linear Regression,10,10,validation,0.010380977764725685,0.014648864977061749
