experiment,split,feature_count,input_dim,edge_types,min_corr_weight,mean_selected_edges_per_snapshot,mae,rmse,note
full_graph,test,59,118,"0,1,2,3,4,5",0.15,13695.62626498158,0.010148310102522373,0.013920098543167114,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_plus_same_industry,test,59,118,"0,4",0.15,13639.52152217507,0.010149248875677586,0.013915379531681538,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_plus_news_co_mention,test,59,118,"0,5",0.15,12297.62626498158,0.010182435624301434,0.013967016711831093,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_threshold_0_30,test,59,118,0,0.3,9029.117147787156,0.010213042609393597,0.013991327956318855,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_plus_parent_subsidiary,test,59,118,"0,1,2",0.15,12303.52152217507,0.010230468586087227,0.014028867706656456,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_plus_same_group,test,59,118,"0,3",0.15,12347.52152217507,0.010230638086795807,0.01402904000133276,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_threshold_0_15,test,59,118,0,0.15,12297.52152217507,0.010232353582978249,0.01403010543435812,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_threshold_0_20,test,59,118,0,0.2,11444.043137620669,0.010313007049262524,0.014131477102637291,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_threshold_0_20,validation,59,118,0,0.2,11444.043137620669,0.009493761695921421,0.014374397695064545,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_threshold_0_30,validation,59,118,0,0.3,9029.117147787156,0.009499594569206238,0.014286799356341362,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_plus_same_industry,validation,59,118,"0,4",0.15,13639.52152217507,0.009513449855148792,0.014297175221145153,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_threshold_0_15,validation,59,118,0,0.15,12297.52152217507,0.009513942524790764,0.014357301406562328,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_plus_same_group,validation,59,118,"0,3",0.15,12347.52152217507,0.00951447430998087,0.014357134699821472,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_plus_parent_subsidiary,validation,59,118,"0,1,2",0.15,12303.52152217507,0.009514912031590939,0.014357464388012886,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_plus_news_co_mention,validation,59,118,"0,5",0.15,12297.62626498158,0.009519709274172783,0.01433152612298727,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
full_graph,validation,59,118,"0,1,2,3,4,5",0.15,13695.62626498158,0.009520122781395912,0.01430842187255621,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
