model,mae_rule_based,rmse_rule_based,mae_ml_labels,rmse_ml_labels,delta_mae_ml_minus_rule,delta_rmse_ml_minus_rule,mae_change_pct,rmse_change_pct
Random Forest,0.0081158801913261,0.0106462584808468,0.0081199565902352,0.010650117881596,4.076398909100623e-06,3.859400749199604e-06,0.05022744068421933,0.03625124034084722
Linear Regression,0.0081208143383264,0.0107100056484341,0.0081260344013571,0.0107031278312206,5.22006303069894e-06,-6.87781721349888e-06,0.06428004401064451,-0.06421861424979247
Rolling Volatility,0.0087901493534445,0.0111781554296612,0.0087901493534445,0.0111781554296612,0.0,0.0,0.0,0.0
GNN + News,0.0090566119179129,0.012083682231605,0.0089439619332551,0.0119248973205685,-0.00011264998465779913,-0.00015878491103649833,-1.243842462046882,-1.3140440802158362
GNN Correlation Only,0.0089877285063266,0.012095108628273,0.0089877285063266,0.012095108628273,0.0,0.0,0.0,0.0
GNN Correlation Only,0.0089877285063266,0.012095108628273,0.0089877285063266,0.012095108628273,0.0,0.0,0.0,0.0
GNN Correlation Only,0.0089877285063266,0.012095108628273,0.0089877285063266,0.012095108628273,0.0,0.0,0.0,0.0
GNN Correlation Only,0.0089877285063266,0.012095108628273,0.0089877285063266,0.012095108628273,0.0,0.0,0.0,0.0
Full Model,0.0089990822598338,0.0120301386341452,0.0090310648083686,0.0120134595781564,3.1982548534799024e-05,-1.6679055988799013e-05,0.3553978907110212,-0.13864392170393425
GNN + Relationship,0.0090892268344759,0.0121490331366658,0.0090892268344759,0.0121490331366658,0.0,0.0,0.0,0.0
