experiment,model,feature_count,input_dim,split,mae,rmse
price_only,Random Forest,22,22,test,0.008678208105266094,0.011629090644419193
price_micro_macro,Random Forest,32,32,test,0.008678640238940716,0.011629069223999977
price_macro,Random Forest,30,30,test,0.008679304271936417,0.011629628948867321
price_micro,Random Forest,24,24,test,0.008682048879563808,0.01163098681718111
top_20_rf,Random Forest,20,20,test,0.00869215838611126,0.011647173203527927
top_30_rf,Linear Regression,30,30,test,0.008719914592802525,0.011615478433668613
price_only,Linear Regression,22,22,test,0.008720077574253082,0.011650417000055313
price_macro,Linear Regression,30,30,test,0.008720080368220806,0.011650419794023037
price_micro,Linear Regression,24,24,test,0.008720080368220806,0.011650419794023037
price_micro_macro,Linear Regression,32,32,test,0.00872008129954338,0.011650419794023037
price_industry_news,Linear Regression,49,49,test,0.008725808002054691,0.011632878333330154
top_10_rf,Random Forest,10,10,test,0.008726315572857857,0.01167880930006504
full_59,Linear Regression,59,59,test,0.008729656226933002,0.011639948934316635
top_30_rf,Random Forest,30,30,test,0.00874151661992073,0.011656504124403
full_59,Random Forest,59,59,test,0.008744445629417896,0.011662404052913189
top_20_rf,Linear Regression,20,20,test,0.008746745064854622,0.011692275293171406
price_industry_news,Random Forest,49,49,test,0.008747504092752934,0.01166442222893238
top_10_rf,Linear Regression,10,10,test,0.008765149861574173,0.011707817204296589
top_30_rf,Selected One-Hop Graph MLP,30,60,test,0.009618263691663742,0.012997603975236416
price_industry_news,Selected One-Hop Graph MLP,49,98,test,0.009720726870000362,0.013208978809416294
price_only,Selected One-Hop Graph MLP,22,44,test,0.009799146093428135,0.013375629670917988
price_micro_macro,Selected One-Hop Graph MLP,32,64,test,0.00988706573843956,0.013524875976145267
price_micro,Selected One-Hop Graph MLP,24,48,test,0.009904362261295319,0.013599456287920475
top_10_rf,Selected One-Hop Graph MLP,10,20,test,0.009996015578508377,0.013719756156206131
price_macro,Selected One-Hop Graph MLP,30,60,test,0.010016773827373981,0.013776172883808613
top_20_rf,Selected One-Hop Graph MLP,20,40,test,0.010141519829630852,0.013980668038129807
full_59,Selected One-Hop Graph MLP,59,118,test,0.010148310102522373,0.013920098543167114
full_59,Selected One-Hop Graph MLP,59,118,validation,0.009520122781395912,0.01430842187255621
price_industry_news,Selected One-Hop Graph MLP,49,98,validation,0.009713267907500267,0.014054760336875916
top_30_rf,Selected One-Hop Graph MLP,30,60,validation,0.009821608662605286,0.014059786684811115
top_20_rf,Selected One-Hop Graph MLP,20,40,validation,0.009888799861073494,0.014628115110099316
top_10_rf,Selected One-Hop Graph MLP,10,20,validation,0.009891464374959469,0.01439488772302866
price_micro,Selected One-Hop Graph MLP,24,48,validation,0.009928709827363491,0.014352184720337391
price_macro,Selected One-Hop Graph MLP,30,60,validation,0.009942611679434776,0.014538687653839588
price_micro_macro,Selected One-Hop Graph MLP,32,64,validation,0.009991596452891827,0.01446574181318283
full_59,Linear Regression,59,59,validation,0.01002719160169363,0.01423555240035057
price_only,Selected One-Hop Graph MLP,22,44,validation,0.010028582997620106,0.014378928579390049
price_industry_news,Linear Regression,49,49,validation,0.010029866360127926,0.014237930998206139
top_30_rf,Linear Regression,30,30,validation,0.010031530633568764,0.014250020496547222
full_59,Random Forest,59,59,validation,0.010138734243810177,0.01447739452123642
price_industry_news,Random Forest,49,49,validation,0.010141359642148018,0.014480780810117722
top_30_rf,Random Forest,30,30,validation,0.010141521692276001,0.01447854284197092
top_10_rf,Random Forest,10,10,validation,0.01016337238252163,0.01456890907138586
top_20_rf,Random Forest,20,20,validation,0.010182080790400505,0.014584869146347046
price_macro,Random Forest,30,30,validation,0.010193546302616596,0.014563636854290962
price_micro_macro,Random Forest,32,32,validation,0.01019378937780857,0.014563347212970257
price_only,Random Forest,22,22,validation,0.010194080881774426,0.014564734883606434
price_micro,Random Forest,24,24,validation,0.010195405222475529,0.014566351659595966
price_only,Linear Regression,22,22,validation,0.010243854485452175,0.01451756153255701
price_macro,Linear Regression,30,30,validation,0.010243863798677921,0.01451757550239563
price_micro,Linear Regression,24,24,validation,0.010243863798677921,0.01451757550239563
price_micro_macro,Linear Regression,32,32,validation,0.010243863798677921,0.014517577365040779
top_20_rf,Linear Regression,20,20,validation,0.01029894221574068,0.014563228003680706
top_10_rf,Linear Regression,10,10,validation,0.010382704436779022,0.014651618897914886
