article_id,title,category,sentiment_label,general_sentiment,manual_sentiment,manual_category
N000450,HDG: Nhắc nhở chậm công bố Nghị quyết HĐQT về phương án phát hành cổ phiếu,capital_issuance,neutral,0.0,,
N000451,HSG: Thông báo và Nghị quyết HĐQT về ngày ĐKCC để tổ chức ĐHĐCĐ thường niên NĐTC 2021-2022,leadership,neutral,0.0,,
N000452,IJC: BCTC Hợp nhất quý 4 năm 2021,earnings,neutral,0.0,,
N000453,IJC: BCTC Quý 04.2021,earnings,neutral,0.0,,
N000454,IJC: BCTC quý 4 năm 2021,earnings,neutral,0.0,,
N000455,IMP: Quyết định của HĐQT về việc thành lập Ban kiểm phiếu lấy ý kiến cổ đông bằng văn bản,leadership,neutral,0.0,,
N000456,MSN: Thông báo kết quả kinh doanh quý 4/2021 và năm tài chính 2021 sơ bộ chưa kiểm toán,earnings,neutral,0.0,,
N000457,Phân tích kỹ thuật phiên chiều 19/01: Chỉ báo MACD đánh mất mức 0,other,neutral,0.0,,
N000459,NLG: Giấy chứng nhận đăng ký doanh nghiệp Công ty TNHH Nam Long Commercial,other,neutral,0.0,,
N000460,NLG: Thông báo giao dịch cổ phiếu của Người nội bộ Châu Quang Phúc,other,neutral,0.0,,
N000461,BBC: Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến Người nội bộ Công ty Cổ phần Thực phẩm PAN,other,neutral,0.0,,
N000462,BBC: Báo cáo về thay đổi sở hữu của cổ đông lớn Công ty Cổ phần Thực phẩm PAN,ma_ownership,neutral,0.0,,
N000463,PDR: Thông báo vê việc lấy ý kiến cổ đông bằng văn bản,other,neutral,0.0,,
N000464,"PGV: Ngày 24/01/2022, ngày hủy ĐKGD cổ phiếu của Tổng Công ty Phát điện 3 - Công ty cổ phần",other,neutral,0.0,,
N000465,SCS: BCTC Quý 04.2021,earnings,neutral,0.0,,
N000466,SCS: BCTC quý 4 năm 2021,earnings,neutral,0.0,,
N000467,SSB: Báo cáo kết quả giao dịch cổ phiếu của người nội bộ Nguyễn Tuấn Cường,other,neutral,0.0,,
N000468,SSB: Thông báo thay đổi địa chỉ liên hệ trụ sở chính,other,neutral,0.0,,
