article_id,title,category,sentiment_label,general_sentiment,manual_sentiment,manual_category
N000001,"Những cổ phiếu ảnh hưởng nhiều nhất đến các chỉ số năm 2021: MSN, NVL đóng vai trò đầu kéo",other,neutral,0.0,,
N000002,"""Điều duy nhất bất biến ở Techcombank là sự thay đổi""",other,neutral,0.0,,
N000003,BAF muốn huy động 600 tỷ đồng trái phiếu,debt_bond,neutral,0.0,,
N000005,Ông Trần Kinh Doanh bất ngờ thôi điều hành Bách Hóa Xanh sau 6 năm,other,neutral,0.0,,
N000008,"Vietjet đón chuyến bay quốc tế đầu tiên từ Tokyo, Nhật Bản đến Việt Nam trong ngày đầu năm 2022",other,neutral,0.0,,
N000009,ABB: Quyết định Hội đồng quản trị,leadership,neutral,0.0,,
N000011,ACB: Báo cáo kết quả giao dịch cổ phiếu của người có liên quan đến người nội bộ Nguyễn Thiện,other,neutral,0.0,,
N000012,BID: HĐQT phê duyệt phương án và hợp cho thuê một phần diện tích trụ sở tạm thời chưa sử dụng tại tòa nhà 24 Lê Thánh Tôn,leadership,neutral,0.0,,
N000013,BID: HĐQT thông qua thỏa thuận cho vay hợp vốn cấp tín dụng giữa BIDV Đồng Nai và BIDC Hà Nội,leadership,neutral,0.0,,
N000016,ELC: Báo cáo kết quả giao dịch cổ phiếu của người có liên quan đến người nội bộ Nguyễn Thị Minh Hạnh,other,neutral,0.0,,
N000017,FCN: Báo cáo kết quả giao dịch cổ phiếu của người nội bộ Phạm Việt Khoa,other,neutral,0.0,,
N000018,FMC: Nhắc nhở chậm CBTT Nghị quyết HĐQT về triển khai phương án phát hành cổ phiếu riêng lẻ,capital_issuance,neutral,0.0,,
N000019,GVR: Nghị quyết HĐQT về việc thông qua hồ sơ liên quan công tác nhân sự ĐHĐCĐ bất thường năm 2021,leadership,neutral,0.0,,
N000020,GVR: Thông báo điều chỉnh kế hoạch SXKD năm 2021 của công ty mẹ,other,neutral,0.0,,
N000021,"GVR: Tờ Trình thông qua số lượng, danh sách ứng cử viên HĐQT, BKS nhiệm kỳ 2021-2026",leadership,neutral,0.0,,
N000022,JVC: Nghị quyết HĐQT về việc thông qua chủ trương thực hiện các Hợp đồng/Giao dịch với bên liên quan dự kiến phát sinh trong năm 2022,leadership,neutral,0.0,,
N000023,JVC: Quyết định vê việc bổ nhiệm chức vụ Phó Tổng Giám đốc Công ty,leadership,neutral,0.0,,
N000024,JVC: Quyết định về việc bổ nhiệm Phó TGĐ,leadership,neutral,0.0,,
N000025,KDH: Nghị quyết HĐQT về việc điều chuyển tiền giữa Khang Điền với các công ty con và giữa công ty con với nhau năm 2022,leadership,neutral,0.0,,
N000026,NLG: Thông báo giao dịch cổ phiếu của người có liên quan đến người nội bộ Lâm Ngọc Minh,other,neutral,0.0,,
N000027,NLG: Thông báo giao dịch cổ phiếu của người có liên quan đến người nội bộ Trần Trương Đoan Thục,other,neutral,0.0,,
N000028,NLG: Thông báo giao dịch cổ phiếu của người nội bộ Phạm Đình Huy,other,neutral,0.0,,
N000030,PGV: BCTC Hợp nhất Kiểm toán năm 2019,other,neutral,0.0,,
N000031,PGV: BCTC Hợp nhất Kiểm toán năm 2020,other,neutral,0.0,,
N000032,PGV: BCTC Hợp nhất quý 2 năm 2021,earnings,neutral,0.0,,
N000033,PGV: BCTC Hợp nhất quý 3 năm 2021,earnings,neutral,0.0,,
N000034,PGV: BCTC Kiểm toán năm 2019,other,neutral,0.0,,
N000035,PGV: BCTC Kiểm toán năm 2020,other,neutral,0.0,,
N000036,PGV: BCTC Năm 2020,other,neutral,0.0,,
N000037,PGV: BCTC Quý 02.2021,earnings,neutral,0.0,,
N000038,PGV: BCTC Quý 03.2021,earnings,neutral,0.0,,
N000039,PGV: BCTC năm 2021,other,neutral,0.0,,
N000040,PGV: BCTC quý 2 năm 2021,earnings,neutral,0.0,,
N000041,PGV: BCTC quý 3 năm 2021,earnings,neutral,0.0,,
N000042,PGV: Bản cáo bạch niêm yết và các tài liệu,other,neutral,0.0,,
N000043,PGV: Thông báo về việc được chấp thuận niêm yết cổ phiếu trên Sở Giao dịch Chứng khoán TP. Hồ Chí Minh,other,neutral,0.0,,
N000044,POW giải trình thế nào về sự cố tại nhà máy Vũng Áng 1?,other,neutral,0.0,,
N000045,"PVS lấn sang mảng năng lượng, hướng đến đầu tư điện gió ngoài khơi",other,neutral,0.0,,
N000046,SCR: Quyết định của HĐQT về việc bổ nhiệm Phó TGĐ,leadership,neutral,0.0,,
N000047,"SHB nâng vốn điều lệ lên 26,674 tỷ đồng",other,neutral,0.0,,
N000048,SSB: Giấy chứng nhận đăng ký chào bán thêm cổ phiếu ra công chúng và link bản cáo bạch,capital_issuance,neutral,0.0,,
N000049,"SSI Research: VN-Index có thể đạt 1,750 điểm trong năm 2022",market_industry,neutral,0.0,,
N000050,"Phân tích kỹ thuật phiên chiều 04/01: VN-Index hướng đến mức 1,530 điểm",market_industry,neutral,0.0,,
