article_id,manual_sentiment,manual_category
N000001,positive,market_industry
N000002,neutral,other
N000003,neutral,debt_bond
N000005,negative,leadership
N000008,positive,other
N000009,neutral,leadership
N000011,neutral,ma_ownership
N000012,neutral,project_contract
N000013,neutral,debt_bond
N000016,neutral,ma_ownership
N000017,neutral,ma_ownership
N000018,negative,legal_regulatory
N000019,neutral,leadership
N000020,neutral,earnings
N000021,neutral,leadership
N000022,neutral,project_contract
N000023,neutral,leadership
N000024,neutral,leadership
N000025,neutral,other
N000026,neutral,ma_ownership
N000027,neutral,ma_ownership
N000028,neutral,ma_ownership
N000030,neutral,earnings
N000031,neutral,earnings
N000032,neutral,earnings
N000033,neutral,earnings
N000034,neutral,earnings
N000035,neutral,earnings
N000036,neutral,earnings
N000037,neutral,earnings
N000038,neutral,earnings
N000039,neutral,earnings
N000040,neutral,earnings
N000041,neutral,earnings
N000042,neutral,other
N000043,positive,other
N000044,negative,other
N000045,positive,project_contract
N000046,neutral,leadership
N000047,positive,capital_issuance
N000048,positive,capital_issuance
N000049,positive,market_industry
N000050,positive,market_industry
N000051,neutral,ma_ownership
N000052,negative,legal_regulatory
N000053,neutral,ma_ownership
N000054,neutral,ma_ownership
N000056,neutral,ma_ownership
N000057,positive,project_contract
N000058,neutral,ma_ownership
N038341,positive,capital_issuance
N022273,positive,dividend
N013003,positive,other
N044652,positive,earnings
N019066,positive,project_contract
N020660,positive,ma_ownership
N013574,neutral,debt_bond
N031350,positive,dividend
N040117,neutral,debt_bond
N048954,positive,capital_issuance
N036184,positive,earnings
N015817,positive,market_industry
N013259,positive,earnings
N049198,neutral,capital_issuance
N040362,positive,earnings
N041126,negative,market_industry
N016417,negative,earnings
N016141,positive,earnings
N006503,positive,earnings
N021699,positive,market_industry
N007362,neutral,market_industry
N006921,positive,earnings
N054259,positive,market_industry
N003813,positive,earnings
N009949,neutral,legal_regulatory
N040544,negative,earnings
N002608,neutral,project_contract
N051580,positive,other
N022571,positive,capital_issuance
N014495,positive,ma_ownership
N050001,negative,legal_regulatory
N053293,negative,market_industry
N050988,negative,legal_regulatory
N038486,negative,legal_regulatory
N043670,positive,legal_regulatory
N003513,negative,legal_regulatory
N037885,neutral,capital_issuance
N053060,positive,market_industry
N036764,negative,ma_ownership
N003301,negative,leadership
N014463,negative,legal_regulatory
N016460,negative,earnings
N001295,negative,leadership
N051947,negative,leadership
N003309,positive,market_industry
N021160,negative,earnings
N004918,negative,debt_bond
N013754,negative,market_industry
N029654,negative,leadership
N029426,neutral,leadership
N000059,neutral,ma_ownership
N000060,neutral,earnings
N000061,neutral,dividend
N000062,neutral,dividend
N000064,neutral,ma_ownership
N000065,neutral,other
N000067,positive,market_industry
N000069,neutral,other
N000070,neutral,other
N000071,positive,market_industry
N000072,neutral,ma_ownership
N000073,neutral,debt_bond
N000074,neutral,leadership
N000075,neutral,other
N000076,neutral,debt_bond
N000077,neutral,capital_issuance
N000078,neutral,capital_issuance
N000079,neutral,capital_issuance
N000080,positive,other
N000081,neutral,leadership
N000082,neutral,leadership
N000083,neutral,ma_ownership
N000084,neutral,leadership
N000085,neutral,leadership
N000086,neutral,capital_issuance
N000087,neutral,capital_issuance
N000088,neutral,ma_ownership
N000090,neutral,other
N000091,neutral,capital_issuance
N000092,neutral,leadership
N000094,neutral,leadership
N000095,neutral,ma_ownership
N000096,neutral,leadership
N000097,neutral,ma_ownership
N000098,neutral,ma_ownership
N000099,neutral,ma_ownership
N000100,neutral,ma_ownership
N000101,neutral,other
N000102,neutral,other
N000103,neutral,other
N000104,neutral,ma_ownership
N000105,neutral,leadership
N000106,neutral,ma_ownership
N000107,neutral,ma_ownership
N000108,neutral,ma_ownership
N000109,neutral,leadership
N000110,neutral,leadership
N000111,neutral,leadership
N000112,neutral,other
N000113,neutral,other
N000114,neutral,debt_bond
N000115,neutral,dividend
N000116,neutral,other
N000117,neutral,market_industry
N000118,neutral,other
N000119,neutral,project_contract
N000120,positive,market_industry
N000121,neutral,ma_ownership
N000123,neutral,leadership
N000124,neutral,ma_ownership
N000125,neutral,other
N000128,neutral,leadership
N000129,neutral,capital_issuance
N000130,neutral,ma_ownership
N000131,neutral,ma_ownership
N000132,negative,leadership
N000133,neutral,market_industry
N000134,neutral,other
N000135,neutral,capital_issuance
N000136,neutral,ma_ownership
N000137,neutral,leadership
N000138,neutral,capital_issuance
N000139,neutral,other
N000140,neutral,leadership
N000141,neutral,other
N000143,neutral,other
N000144,neutral,other
N000145,neutral,ma_ownership
N000146,neutral,ma_ownership
N000147,neutral,ma_ownership
N000148,neutral,dividend
N000149,neutral,leadership
N000150,neutral,other
N000151,neutral,other
N000152,neutral,ma_ownership
N000153,neutral,leadership
N000154,neutral,ma_ownership
N000155,neutral,leadership
N000156,neutral,ma_ownership
N000157,neutral,ma_ownership
N000158,neutral,ma_ownership
N000159,neutral,ma_ownership
N000160,neutral,leadership
N000161,neutral,other
N000162,positive,market_industry
N000163,neutral,other
N000165,neutral,market_industry
N000166,neutral,market_industry
N000167,neutral,ma_ownership
N000168,neutral,dividend
N000170,neutral,ma_ownership
N000171,neutral,other
N000172,neutral,other
N000173,neutral,ma_ownership
N000174,neutral,ma_ownership
N000175,neutral,ma_ownership
N000176,neutral,other
N000177,neutral,other
N000178,neutral,legal_regulatory
N000179,neutral,leadership
N000180,neutral,ma_ownership
N000181,neutral,ma_ownership
N000183,neutral,other
N000184,neutral,ma_ownership
N000185,neutral,ma_ownership
N000186,neutral,other
N000187,neutral,other
N000188,neutral,dividend
N000189,neutral,other
N000190,neutral,ma_ownership
N000191,neutral,ma_ownership
N000192,neutral,other
N000193,neutral,ma_ownership
N000194,neutral,other
N000196,neutral,other
N000197,neutral,dividend
N000198,neutral,dividend
N000199,neutral,debt_bond
N000200,neutral,other
N000201,positive,other
N000203,neutral,other
N000204,neutral,other
N000205,neutral,capital_issuance
N000206,neutral,capital_issuance
N000207,neutral,ma_ownership
N000208,neutral,capital_issuance
N000210,neutral,ma_ownership
N000211,neutral,other
N000212,neutral,market_industry
N000213,neutral,other
N000214,neutral,ma_ownership
N000215,negative,leadership
N000216,neutral,market_industry
N000217,neutral,leadership
N000218,neutral,other
N000219,neutral,leadership
N000220,neutral,earnings
N000221,neutral,debt_bond
N000223,neutral,ma_ownership
N000224,neutral,ma_ownership
N000225,neutral,ma_ownership
N000226,neutral,ma_ownership
N000227,neutral,ma_ownership
N000228,neutral,capital_issuance
N000229,neutral,leadership
N000230,neutral,ma_ownership
N000231,neutral,other
N000233,neutral,ma_ownership
N000234,neutral,ma_ownership
N000236,neutral,leadership
N000237,neutral,other
N000238,neutral,ma_ownership
N000239,neutral,other
N000240,neutral,ma_ownership
N000241,neutral,ma_ownership
N000242,neutral,ma_ownership
N000243,neutral,leadership
N000244,neutral,other
N000245,neutral,leadership
N000246,neutral,leadership
N000247,neutral,ma_ownership
N000248,neutral,leadership
N000250,neutral,ma_ownership
N000251,neutral,other
N000252,neutral,capital_issuance
N000253,neutral,ma_ownership
N000254,neutral,ma_ownership
N000255,neutral,other
N000256,neutral,other
N000257,neutral,ma_ownership
N000258,neutral,ma_ownership
N000259,neutral,market_industry
N000260,neutral,leadership
N000261,neutral,ma_ownership
N000262,positive,earnings
N000263,neutral,other
N000264,neutral,ma_ownership
N000265,neutral,ma_ownership
N000267,neutral,other
N000268,neutral,capital_issuance
N000269,neutral,project_contract
N000270,neutral,project_contract
N000271,neutral,earnings
N000272,neutral,earnings
N000273,neutral,project_contract
N000274,neutral,debt_bond
N000275,neutral,other
N000276,neutral,capital_issuance
N000277,neutral,market_industry
N000278,neutral,leadership
N000279,neutral,other
N000280,neutral,ma_ownership
N000281,neutral,ma_ownership
N000282,neutral,ma_ownership
N000283,neutral,ma_ownership
N000284,neutral,ma_ownership
N000285,neutral,ma_ownership
N000286,neutral,capital_issuance
N000287,neutral,other
N000288,neutral,other
N000289,neutral,ma_ownership
N000290,neutral,debt_bond
N000291,neutral,market_industry
N000292,neutral,other
N000293,neutral,ma_ownership
N000294,neutral,other
N000295,neutral,leadership
N000296,neutral,other
N000297,neutral,other
N000298,neutral,other
N000299,neutral,market_industry
N000300,neutral,ma_ownership
N000301,neutral,ma_ownership
N000302,neutral,other
N000303,neutral,other
N000304,neutral,market_industry
N000305,neutral,other
N000306,neutral,ma_ownership
N000308,neutral,ma_ownership
N000309,neutral,ma_ownership
N000310,neutral,other
N000311,neutral,other
N000312,neutral,debt_bond
N000313,neutral,leadership
N000314,neutral,ma_ownership
N000315,neutral,ma_ownership
N000316,neutral,other
N000317,neutral,leadership
N000318,neutral,leadership
N000319,neutral,leadership
N000320,neutral,capital_issuance
N000321,neutral,dividend
N000322,neutral,other
N000323,neutral,ma_ownership
N000324,neutral,ma_ownership
N000325,neutral,earnings
N000326,neutral,earnings
N000327,neutral,other
N000328,neutral,ma_ownership
N000329,neutral,other
N000330,neutral,market_industry
N000331,neutral,leadership
N000332,neutral,ma_ownership
N000333,neutral,other
N000334,neutral,market_industry
N000336,neutral,leadership
N000337,neutral,ma_ownership
N000338,neutral,debt_bond
N000339,neutral,ma_ownership
N000340,neutral,ma_ownership
N000342,neutral,ma_ownership
N000344,neutral,ma_ownership
N000345,neutral,ma_ownership
N000346,neutral,ma_ownership
N000347,neutral,dividend
N000349,neutral,debt_bond
N000350,neutral,other
N000351,neutral,leadership
N000352,neutral,earnings
N000353,neutral,earnings
N000354,neutral,earnings
N000355,neutral,ma_ownership
N000356,neutral,ma_ownership
N000358,neutral,leadership
N000359,neutral,leadership
N000360,neutral,capital_issuance
N000361,neutral,ma_ownership
N000362,neutral,capital_issuance
N000363,neutral,debt_bond
N000364,neutral,ma_ownership
N000365,neutral,ma_ownership
N000366,neutral,ma_ownership
N000367,neutral,other
N000368,neutral,ma_ownership
N000369,neutral,ma_ownership
N000370,neutral,other
N000372,neutral,other
N000373,neutral,leadership
N000374,neutral,ma_ownership
N000375,neutral,ma_ownership
N000376,neutral,ma_ownership
N000377,neutral,ma_ownership
N000378,neutral,ma_ownership
N000379,neutral,earnings
N000380,negative,earnings
N000381,neutral,market_industry
N000382,neutral,ma_ownership
N000383,positive,other
N000384,neutral,leadership
N000385,neutral,leadership
N000386,neutral,other
N000387,neutral,capital_issuance
N000388,neutral,other
N000389,neutral,earnings
N000390,neutral,dividend
N000391,neutral,dividend
N000392,neutral,dividend
N000393,neutral,other
N000394,neutral,leadership
N000395,neutral,leadership
N000396,neutral,ma_ownership
N000397,neutral,ma_ownership
N000398,neutral,other
N000399,neutral,dividend
N000400,neutral,dividend
N000401,neutral,dividend
N000402,neutral,ma_ownership
N000403,neutral,other
N000404,neutral,market_industry
N000405,neutral,other
N000406,neutral,ma_ownership
N000407,neutral,ma_ownership
N000408,positive,market_industry
N000409,neutral,market_industry
N000410,neutral,capital_issuance
N000411,neutral,leadership
N000412,neutral,earnings
N000413,neutral,earnings
N000414,neutral,earnings
N000415,neutral,earnings
N000416,neutral,market_industry
N000417,neutral,project_contract
N000418,neutral,earnings
N000419,neutral,earnings
N000420,neutral,other
N000421,positive,other
N000422,neutral,debt_bond
N000423,neutral,debt_bond
N000424,neutral,ma_ownership
N000425,neutral,other
N000426,neutral,other
N000427,neutral,ma_ownership
N000428,neutral,other
N000429,neutral,leadership
N000430,neutral,debt_bond
N000431,neutral,dividend
N000432,neutral,other
N000433,neutral,leadership
N000434,neutral,ma_ownership
N000435,neutral,earnings
N000436,neutral,earnings
N000437,neutral,earnings
N000438,neutral,leadership
N000439,neutral,earnings
N000440,neutral,other
N000441,neutral,ma_ownership
N000442,neutral,leadership
N000443,neutral,ma_ownership
N000444,neutral,other
N000445,neutral,earnings
N000446,neutral,earnings
N000447,neutral,earnings
N000448,neutral,other
N011256,neutral,earnings
N032706,neutral,other
N051376,neutral,other
N054028,neutral,earnings
N024521,neutral,leadership
N012526,neutral,market_industry
N053265,neutral,leadership
N030712,neutral,other
N047976,neutral,ma_ownership
N014946,neutral,earnings
N032749,neutral,other
N046011,neutral,market_industry
