date,AAA,ABB,ACB,ACL,ACV,AGG,AGR,ANV,APH,AST,BAF,BCM,BFC,BID,BMP,BSI,BSR,BWE,C4G,CMG,CRE,CSV,CTD,CTG,CTS,DBC,DBD,DCM,DGC,DGW,DHG,DIG,DMC,DPG,DPM,DXG,EIB,ELC,FCN,FMC,FOX,FPT,FRT,FTS,GAS,GEG,GEX,GMD,GVR,HAH,HCM,HDB,HDG,HHV,HPG,HSG,IDI,IJC,IMP,JVC,KBC,KDC,KDH,LCG,LPB,LTG,MBB,MSB,MSN,MWG,NKG,NLG,NT2,NTL,OCB,ORS,PAN,PC1,PDR,PGV,PHR,PLX,PNJ,POW,PPC,PVD,PVS,QNS,REE,SAB,SCR,SCS,SGN,SHB,SIP,SSB,SSI,STB,SZC,TCB,TPB,TRA,VCB,VCG,VCI,VGI,VHC,VHM,VIB,VIC,VIX,VJC,VND,VNM,VPB,VRE,VSC,VTP
2022-01-04,19.88,13.52,16.14,16.22,52.55,29.4,22.03,15.18,30.13,47.89,16.85,62.36,24.21,27.13,39.18,31.16,13.7,34.95,17.76,26.05,24.34,13.94,73.7,21.33,23.9,26.38,29.21,28.62,62.13,51.52,91.7,73.38,45.09,43.24,20.1,27.3,22.03,13.17,27.97,43.84,27.76,47.46,43.56,26.91,68.44,21.26,39.07,35.98,35.17,21.12,22.25,12.68,34.88,20.39,26.77,28.73,12.27,17.65,31.04,10.35,46.09,50.26,37.12,17.69,10.91,27.5,13.12,13.95,140.69,66.36,24.18,55.78,21.0,15.19,13.65,20.3,37.83,23.06,58.11,35.38,58.81,49.07,65.7,15.48,17.67,23.04,24.57,34.48,37.26,61.36,20.75,61.93,60.66,12.2,49.7,26.08,32.03,32.1,44.82,24.04,19.97,75.82,44.44,33.79,40.78,33.09,46.53,82.69,18.74,50.5,12.75,126.0,27.12,68.13,21.16,31.15,17.09,57.16
2022-01-05,20.12,13.52,15.81,16.71,53.16,30.13,21.77,15.96,29.73,48.16,18.02,62.55,24.18,26.88,39.11,31.27,13.65,34.62,19.46,26.56,24.72,13.94,73.7,21.33,24.95,26.56,29.04,28.7,61.12,50.91,92.02,78.49,45.18,45.95,19.78,27.61,22.29,13.23,29.92,45.53,27.38,47.51,43.11,26.73,70.53,21.73,39.07,36.13,35.91,21.0,22.23,12.44,35.15,20.69,26.8,28.35,12.42,18.06,31.13,11.05,45.41,50.17,38.01,17.77,10.79,27.05,12.94,13.61,133.24,66.02,24.12,56.48,20.61,15.16,13.43,20.03,39.08,23.43,57.49,35.29,59.54,48.89,64.75,15.72,17.46,23.0,24.57,34.41,37.79,62.26,20.51,60.8,60.49,11.93,49.7,25.74,31.91,32.55,46.03,23.86,19.62,74.84,43.88,35.3,40.34,32.7,49.79,81.62,18.66,50.0,12.71,123.0,26.83,67.74,20.83,33.3,16.89,57.16
2022-01-06,21.51,13.27,15.83,16.85,52.85,30.18,21.47,15.76,29.81,48.16,19.24,66.9,23.74,27.56,38.85,30.13,13.76,34.22,19.33,25.62,24.72,13.84,78.85,20.87,24.6,26.41,28.65,28.39,60.73,50.17,98.42,77.71,45.86,46.13,19.31,29.51,22.23,13.23,30.35,44.69,27.11,47.46,40.12,26.16,69.65,21.64,41.76,35.52,36.1,20.69,21.84,12.44,35.57,20.62,26.39,27.43,12.19,18.28,31.13,11.8,46.39,49.98,38.76,18.15,10.54,26.75,12.78,13.58,127.28,66.22,23.15,56.04,20.38,15.08,13.19,19.46,38.6,22.89,57.49,34.45,63.7,48.71,64.41,15.93,17.35,22.96,24.66,34.33,37.21,61.2,21.95,62.37,59.96,12.2,48.78,25.14,31.36,32.7,46.1,23.57,19.62,74.92,44.49,35.11,39.74,32.5,49.57,82.88,18.37,52.25,12.56,123.8,26.54,67.11,20.63,35.6,16.78,56.0
2022-01-07,21.89,13.45,15.62,16.49,52.61,30.52,21.69,15.71,29.61,47.71,20.58,71.55,23.24,28.43,38.78,30.61,13.88,35.51,19.46,25.2,25.55,13.62,78.99,20.38,24.0,26.66,28.31,27.08,59.75,50.91,91.7,83.11,45.94,49.01,18.54,30.4,21.71,13.12,30.63,44.69,26.69,47.41,40.72,25.58,72.21,21.73,44.06,36.55,36.01,21.47,21.77,12.36,35.15,,26.22,27.08,12.23,18.03,31.04,12.4,46.54,50.08,38.62,19.41,10.79,26.53,12.89,13.31,127.45,65.25,22.96,56.57,20.49,14.75,13.14,19.49,38.21,22.52,57.0,34.53,63.62,49.42,63.93,16.68,17.35,23.37,25.27,34.19,36.89,60.65,22.6,61.93,60.22,11.98,47.67,24.28,31.18,31.95,45.46,23.36,19.16,75.0,44.89,35.23,39.52,32.2,49.64,82.98,18.17,51.1,13.25,123.8,26.14,66.95,20.31,34.75,17.01,56.0
2022-01-10,20.41,12.96,15.48,16.49,52.3,31.31,20.74,14.89,28.77,47.98,20.81,66.62,22.22,28.18,38.65,29.11,13.25,35.59,19.07,24.34,25.61,13.07,73.91,20.44,22.32,25.52,28.0,25.19,56.56,49.6,86.82,79.49,45.52,46.99,17.27,28.69,21.25,12.41,30.87,44.18,26.73,46.7,39.35,24.52,68.51,20.37,43.16,35.29,35.26,20.84,21.09,12.07,33.31,,26.14,27.08,12.35,18.42,31.09,12.6,44.36,50.08,36.92,18.07,10.49,26.23,12.66,12.94,126.62,64.05,22.77,52.74,19.41,14.39,12.75,18.73,36.38,21.72,57.31,34.03,63.37,48.28,63.46,15.52,17.53,21.78,24.14,33.62,36.25,60.17,23.52,63.22,59.44,11.55,49.36,23.31,29.94,31.6,45.14,22.98,18.9,75.0,44.72,32.78,37.27,31.9,46.98,82.98,17.9,51.15,12.64,123.8,25.23,66.87,20.19,35.0,16.78,54.83
2022-01-11,19.21,12.84,15.36,16.58,53.03,33.49,20.39,14.24,27.61,47.44,20.43,71.26,21.75,28.58,38.38,28.37,13.13,35.27,19.59,23.49,24.13,12.49,74.05,20.26,21.0,25.31,28.08,24.54,55.78,48.91,85.54,85.02,45.09,46.13,17.21,29.39,21.48,12.21,32.92,43.84,27.11,45.43,36.59,23.2,69.38,20.63,44.37,34.76,34.42,20.6,20.24,11.95,33.47,,25.82,26.51,12.42,18.55,31.37,11.75,41.36,49.8,36.17,19.33,10.45,25.93,12.57,13.07,119.92,63.47,22.65,51.35,19.41,14.39,12.7,18.19,34.55,21.78,56.76,34.2,64.03,47.49,64.07,15.43,17.32,21.85,23.96,33.33,35.13,60.53,24.27,63.38,59.62,11.41,51.01,22.33,29.07,32.45,44.63,22.89,18.78,74.76,44.66,33.79,35.3,31.51,45.87,81.23,17.58,50.5,12.31,123.8,23.86,66.87,20.13,34.2,16.38,54.44
2022-01-12,18.82,13.15,15.53,16.53,52.3,34.39,21.17,13.87,27.77,47.26,21.85,75.72,22.08,30.57,38.51,29.25,13.59,35.99,19.92,23.49,22.46,12.9,77.87,20.96,22.45,25.67,29.21,24.07,58.47,49.28,80.98,79.13,45.26,45.26,17.61,28.85,21.97,11.95,34.25,43.59,27.15,45.48,36.96,23.42,72.54,20.88,41.27,33.66,34.6,20.07,20.7,12.62,32.79,,26.45,26.97,11.57,17.59,31.0,10.95,44.21,49.52,36.65,19.37,10.64,25.71,13.16,13.76,119.92,65.49,23.18,49.96,19.95,13.46,13.19,18.65,33.77,21.78,55.16,33.35,66.88,48.1,63.12,15.02,16.82,23.37,24.84,33.04,35.19,60.49,22.6,63.34,59.62,12.03,50.64,23.45,30.52,34.7,41.96,23.81,20.09,74.76,45.0,32.97,36.17,31.11,47.27,81.23,18.47,50.4,12.25,123.2,24.97,66.39,20.77,36.0,15.87,55.61
2022-01-13,17.52,13.09,15.65,16.12,53.46,32.71,20.43,13.53,27.17,47.53,23.34,73.82,21.57,31.92,39.25,28.08,13.36,36.6,18.15,23.4,21.04,12.59,74.33,21.58,21.65,25.45,29.49,24.0,57.14,49.52,82.02,73.6,45.18,42.15,17.09,26.83,22.23,12.03,31.87,43.59,27.3,46.75,38.06,23.51,70.53,19.78,38.39,33.4,33.2,20.04,20.29,12.56,32.26,,26.74,27.66,10.79,17.21,31.13,10.2,42.79,49.52,36.51,18.03,10.69,25.56,13.39,13.76,119.83,65.25,23.71,47.79,18.86,13.39,13.14,18.42,32.86,20.86,55.47,33.52,64.43,47.57,64.07,13.99,16.14,23.04,23.96,33.33,35.19,59.78,21.02,63.22,59.27,12.06,49.76,23.79,29.52,34.3,42.41,23.86,19.69,74.5,46.07,30.76,34.53,31.41,45.05,79.87,18.33,49.4,11.68,122.0,23.82,66.39,20.69,33.8,15.91,55.14
2022-01-14,17.62,13.39,15.5,15.99,53.46,32.82,20.31,13.49,27.17,46.36,23.04,72.02,20.99,32.1,39.11,29.22,13.25,36.6,18.29,23.19,21.78,12.4,74.4,21.76,22.25,25.63,29.55,22.34,56.2,50.09,84.82,68.56,45.01,42.96,15.91,26.83,22.0,12.03,31.01,43.42,27.11,46.34,40.35,23.33,70.86,20.37,39.65,32.49,33.39,20.04,20.24,12.48,32.79,,26.48,27.16,10.48,16.71,31.25,9.98,43.31,49.7,36.51,18.38,10.59,25.48,13.36,13.17,119.83,64.53,23.34,49.09,18.51,13.76,13.02,18.27,32.42,20.86,56.27,33.52,64.76,48.28,63.93,14.65,16.32,23.26,24.31,33.9,35.34,60.13,20.38,63.22,59.7,12.2,49.9,23.85,29.43,35.0,44.51,23.5,19.58,73.66,46.91,32.02,34.04,31.01,46.53,79.87,18.05,49.45,11.78,122.0,23.53,67.67,20.45,34.4,15.6,54.83
2022-01-17,16.42,12.9,15.36,14.91,53.46,30.58,18.92,12.64,26.45,46.99,22.81,67.0,19.54,31.66,37.89,27.2,13.19,35.99,17.63,21.78,20.28,11.54,70.23,21.49,20.7,25.56,28.65,20.99,52.3,47.89,81.62,63.8,45.09,42.09,15.51,24.97,21.38,11.39,28.87,41.31,26.57,45.17,37.56,21.72,70.26,18.97,36.91,30.74,31.1,18.64,18.83,11.82,31.42,,25.59,25.28,10.37,15.56,31.13,9.29,40.31,49.61,33.98,17.12,10.45,23.98,13.3,12.72,117.52,62.6,22.09,45.7,17.23,12.83,12.46,17.04,30.16,19.43,53.02,33.1,60.36,47.05,63.66,13.66,15.93,23.7,24.4,33.47,34.07,59.38,18.99,62.82,58.75,11.93,48.68,23.73,27.38,32.6,41.39,22.96,18.78,72.4,48.49,29.78,31.68,30.02,44.17,76.86,17.31,48.5,10.95,120.5,21.9,66.23,19.4,32.0,15.32,53.12
