ticker,company_name,industry,sector,exchange
AAA,,MaterialsChemicalsSteel,MaterialsChemicalsSteel,
ABB,,Banking,Banking,
ACB,,Banking,Banking,
ACL,,ConsumerFoodAgri,ConsumerFoodAgri,
ACV,,TransportLogisticsAviation,TransportLogisticsAviation,
AGG,,RealEstate,RealEstate,
AGR,,Securities,Securities,
ANV,,ConsumerFoodAgri,ConsumerFoodAgri,
APH,,MaterialsChemicalsSteel,MaterialsChemicalsSteel,
AST,,TransportLogisticsAviation,TransportLogisticsAviation,
BAF,,ConsumerFoodAgri,ConsumerFoodAgri,
BCM,,RealEstate,RealEstate,
BFC,,MaterialsChemicalsSteel,MaterialsChemicalsSteel,
BID,,Banking,Banking,
BMP,,MaterialsChemicalsSteel,MaterialsChemicalsSteel,
BSI,,Securities,Securities,
BSR,,EnergyUtilitiesOilGas,EnergyUtilitiesOilGas,
BWE,,EnergyUtilitiesOilGas,EnergyUtilitiesOilGas,
C4G,,ConstructionInfra,ConstructionInfra,
CMG,,ICTTelecom,ICTTelecom,
CRE,,RealEstate,RealEstate,
CSV,,MaterialsChemicalsSteel,MaterialsChemicalsSteel,
CTD,,ConstructionInfra,ConstructionInfra,
CTG,,Banking,Banking,
CTS,,Securities,Securities,
DBC,,ConsumerFoodAgri,ConsumerFoodAgri,
DBD,,HealthcarePharma,HealthcarePharma,
DCM,,MaterialsChemicalsSteel,MaterialsChemicalsSteel,
DGC,,MaterialsChemicalsSteel,MaterialsChemicalsSteel,
DGW,,RetailDistribution,RetailDistribution,
DHG,,HealthcarePharma,HealthcarePharma,
DIG,,RealEstate,RealEstate,
DMC,,HealthcarePharma,HealthcarePharma,
DPG,,ConstructionInfra,ConstructionInfra,
DPM,,MaterialsChemicalsSteel,MaterialsChemicalsSteel,
DXG,,RealEstate,RealEstate,
EIB,,Banking,Banking,
ELC,,ICTTelecom,ICTTelecom,
FCN,,ConstructionInfra,ConstructionInfra,
FMC,,ConsumerFoodAgri,ConsumerFoodAgri,
FOX,,ICTTelecom,ICTTelecom,
FPT,,ICTTelecom,ICTTelecom,
FRT,,RetailDistribution,RetailDistribution,
FTS,,Securities,Securities,
GAS,,EnergyUtilitiesOilGas,EnergyUtilitiesOilGas,
GEG,,EnergyUtilitiesOilGas,EnergyUtilitiesOilGas,
GEX,,IndustrialsHoldings,IndustrialsHoldings,
GMD,,TransportLogisticsAviation,TransportLogisticsAviation,
GVR,,MaterialsChemicalsSteel,MaterialsChemicalsSteel,
HAH,,TransportLogisticsAviation,TransportLogisticsAviation,
HCM,,Securities,Securities,
HDB,,Banking,Banking,
HDG,,RealEstate,RealEstate,
HHV,,ConstructionInfra,ConstructionInfra,
HPG,,MaterialsChemicalsSteel,MaterialsChemicalsSteel,
HSG,,MaterialsChemicalsSteel,MaterialsChemicalsSteel,
IDI,,ConsumerFoodAgri,ConsumerFoodAgri,
IJC,,RealEstate,RealEstate,
IMP,,HealthcarePharma,HealthcarePharma,
JVC,,HealthcarePharma,HealthcarePharma,
KBC,,RealEstate,RealEstate,
KDC,,ConsumerFoodAgri,ConsumerFoodAgri,
KDH,,RealEstate,RealEstate,
LCG,,ConstructionInfra,ConstructionInfra,
LPB,,Banking,Banking,
LTG,,ConsumerFoodAgri,ConsumerFoodAgri,
MBB,,Banking,Banking,
MSB,,Banking,Banking,
MSN,,ConsumerFoodAgri,ConsumerFoodAgri,
MWG,,RetailDistribution,RetailDistribution,
NKG,,MaterialsChemicalsSteel,MaterialsChemicalsSteel,
NLG,,RealEstate,RealEstate,
NT2,,EnergyUtilitiesOilGas,EnergyUtilitiesOilGas,
NTL,,RealEstate,RealEstate,
OCB,,Banking,Banking,
ORS,,Securities,Securities,
PAN,,ConsumerFoodAgri,ConsumerFoodAgri,
PC1,,ConstructionInfra,ConstructionInfra,
PDR,,RealEstate,RealEstate,
PGV,,EnergyUtilitiesOilGas,EnergyUtilitiesOilGas,
PHR,,MaterialsChemicalsSteel,MaterialsChemicalsSteel,
PLX,,EnergyUtilitiesOilGas,EnergyUtilitiesOilGas,
PNJ,,RetailDistribution,RetailDistribution,
POW,,EnergyUtilitiesOilGas,EnergyUtilitiesOilGas,
PPC,,EnergyUtilitiesOilGas,EnergyUtilitiesOilGas,
PVD,,EnergyUtilitiesOilGas,EnergyUtilitiesOilGas,
PVS,,EnergyUtilitiesOilGas,EnergyUtilitiesOilGas,
QNS,,ConsumerFoodAgri,ConsumerFoodAgri,
REE,,IndustrialsHoldings,IndustrialsHoldings,
SAB,,ConsumerFoodAgri,ConsumerFoodAgri,
SCR,,RealEstate,RealEstate,
SCS,,TransportLogisticsAviation,TransportLogisticsAviation,
SGN,,TransportLogisticsAviation,TransportLogisticsAviation,
SHB,,Banking,Banking,
SIP,,RealEstate,RealEstate,
SSB,,Banking,Banking,
SSI,,Securities,Securities,
STB,,Banking,Banking,
SZC,,RealEstate,RealEstate,
TCB,,Banking,Banking,
TPB,,Banking,Banking,
TRA,,HealthcarePharma,HealthcarePharma,
VCB,,Banking,Banking,
VCG,,ConstructionInfra,ConstructionInfra,
VCI,,Securities,Securities,
VGI,,ICTTelecom,ICTTelecom,
VHC,,ConsumerFoodAgri,ConsumerFoodAgri,
VHM,,RealEstate,RealEstate,
VIB,,Banking,Banking,
VIC,,RealEstate,RealEstate,
VIX,,Securities,Securities,
VJC,,TransportLogisticsAviation,TransportLogisticsAviation,
VND,,Securities,Securities,
VNM,,ConsumerFoodAgri,ConsumerFoodAgri,
VPB,,Banking,Banking,
VRE,,RealEstate,RealEstate,
VSC,,TransportLogisticsAviation,TransportLogisticsAviation,
VTP,,TransportLogisticsAviation,TransportLogisticsAviation,
