snapshot_id,article_id,published_date,event_trading_date,category,general_sentiment,n_mapped_tickers,target_count,num_nodes,num_node_features,num_edges,num_edges_price_correlation,num_edges_parent_to_subsidiary,num_edges_subsidiary_to_parent,num_edges_same_group,num_edges_same_industry,num_edges_news_co_mention,label_horizon,lookback_returns,corr_lookback
0,N012081,2023-01-06,2023-01-06,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
1,N012082,2023-01-06,2023-01-06,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
2,N012083,2023-01-06,2023-01-06,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
3,N012084,2023-01-06,2023-01-06,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
4,N012085,2023-01-06,2023-01-06,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
5,N012086,2023-01-06,2023-01-06,project_contract,0.3333333333333333,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
6,N012087,2023-01-06,2023-01-06,dividend,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
7,N012088,2023-01-06,2023-01-06,leadership,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
8,N012089,2023-01-06,2023-01-06,leadership,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
9,N012090,2023-01-06,2023-01-06,dividend,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
10,N012091,2023-01-06,2023-01-06,debt_bond,0.3333333333333333,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
11,N012092,2023-01-06,2023-01-06,debt_bond,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
12,N012093,2023-01-06,2023-01-06,leadership,-0.3333333333333333,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
13,N012094,2023-01-06,2023-01-06,ma_ownership,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
14,N012095,2023-01-06,2023-01-06,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
15,N012096,2023-01-06,2023-01-06,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
16,N012097,2023-01-06,2023-01-06,leadership,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
17,N012098,2023-01-06,2023-01-06,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
18,N012099,2023-01-06,2023-01-06,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
19,N012100,2023-01-06,2023-01-06,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
