source_ticker,target_ticker,relation_type,weight,is_directed,valid_from,valid_to,evidence_source,note
BID,CTG,common_owner,0.6446,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=State Bank of Vietnam; owner_pct_i=80.99; owner_pct_j=64.46; method=common_owner_min_pct; min(80.99%, 64.46%)"
CTG,BID,common_owner,0.6446,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=State Bank of Vietnam; owner_pct_i=80.99; owner_pct_j=64.46; method=common_owner_min_pct; min(80.99%, 64.46%)"
BID,VCB,common_owner,0.748,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=State Bank of Vietnam; owner_pct_i=80.99; owner_pct_j=74.8; method=common_owner_min_pct; min(80.99%, 74.80%)"
VCB,BID,common_owner,0.748,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=State Bank of Vietnam; owner_pct_i=80.99; owner_pct_j=74.8; method=common_owner_min_pct; min(80.99%, 74.80%)"
CTG,VCB,common_owner,0.6446,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=State Bank of Vietnam; owner_pct_i=64.46; owner_pct_j=74.8; method=common_owner_min_pct; min(64.46%, 74.80%)"
VCB,CTG,common_owner,0.6446,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=State Bank of Vietnam; owner_pct_i=64.46; owner_pct_j=74.8; method=common_owner_min_pct; min(64.46%, 74.80%)"
PVS,STB,common_owner,0.022799999999999997,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=CTBC Vietnam Equity Fund; owner_pct_i=3.77; owner_pct_j=2.28; method=common_owner_min_pct; min(3.77%, 2.28%)"
STB,PVS,common_owner,0.022799999999999997,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=CTBC Vietnam Equity Fund; owner_pct_i=3.77; owner_pct_j=2.28; method=common_owner_min_pct; min(3.77%, 2.28%)"
VHM,VRE,common_owner,0.184,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=Vingroup; owner_pct_i=73.5; owner_pct_j=18.4; method=common_owner_min_pct; min(73.50%, 18.40%)"
VRE,VHM,common_owner,0.184,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=Vingroup; owner_pct_i=73.5; owner_pct_j=18.4; method=common_owner_min_pct; min(73.50%, 18.40%)"
