source_ticker,target_ticker,relation_type,weight,is_directed,valid_from,valid_to,evidence_source,note
BSR,DPM,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
BSR,DCM,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
BSR,GAS,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
BSR,POW,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
BSR,PVD,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
BSR,PVS,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
DPM,BSR,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
DPM,DCM,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
DPM,GAS,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
DPM,POW,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
DPM,PVD,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
DPM,PVS,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
DCM,BSR,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
DCM,DPM,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
DCM,GAS,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
DCM,POW,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
DCM,PVD,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
DCM,PVS,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
GAS,BSR,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
GAS,DPM,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
GAS,DCM,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
GAS,POW,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
GAS,PVD,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
GAS,PVS,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
POW,BSR,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
POW,DPM,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
POW,DCM,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
POW,GAS,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
POW,PVD,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
POW,PVS,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
PVD,BSR,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
PVD,DPM,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
PVD,DCM,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
PVD,GAS,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
PVD,POW,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
PVD,PVS,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
PVS,BSR,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
PVS,DPM,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
PVS,DCM,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
PVS,GAS,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
PVS,POW,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
PVS,PVD,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E001 PetroVietnam ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
VIC,VHM,strategic_ecosystem,0.9,0,,2023-12-31,curated thesis relationship map,E002 Vingroup ecosystem before Vincom Retail exit; strong ecosystem or ownership-adjacent relationship; weight is research-defined
VIC,VRE,strategic_ecosystem,0.9,0,,2023-12-31,curated thesis relationship map,E002 Vingroup ecosystem before Vincom Retail exit; strong ecosystem or ownership-adjacent relationship; weight is research-defined
VHM,VIC,strategic_ecosystem,0.9,0,,2023-12-31,curated thesis relationship map,E002 Vingroup ecosystem before Vincom Retail exit; strong ecosystem or ownership-adjacent relationship; weight is research-defined
VHM,VRE,strategic_ecosystem,0.9,0,,2023-12-31,curated thesis relationship map,E002 Vingroup ecosystem before Vincom Retail exit; strong ecosystem or ownership-adjacent relationship; weight is research-defined
VRE,VIC,strategic_ecosystem,0.9,0,,2023-12-31,curated thesis relationship map,E002 Vingroup ecosystem before Vincom Retail exit; strong ecosystem or ownership-adjacent relationship; weight is research-defined
VRE,VHM,strategic_ecosystem,0.9,0,,2023-12-31,curated thesis relationship map,E002 Vingroup ecosystem before Vincom Retail exit; strong ecosystem or ownership-adjacent relationship; weight is research-defined
APH,AAA,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E004 An Phat ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
AAA,APH,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E004 An Phat ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
GVR,SIP,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E005 VRG rubber industrial ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
GVR,PHR,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E005 VRG rubber industrial ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
SIP,GVR,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E005 VRG rubber industrial ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
SIP,PHR,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E005 VRG rubber industrial ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
PHR,GVR,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E005 VRG rubber industrial ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
PHR,SIP,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E005 VRG rubber industrial ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
BID,BSI,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E006 BIDV financial ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
BSI,BID,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E006 BIDV financial ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
CTG,CTS,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E007 VietinBank financial ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
CTS,CTG,strategic_ecosystem,0.9,0,,,curated thesis relationship map,E007 VietinBank financial ecosystem; strong ecosystem or ownership-adjacent relationship; weight is research-defined
ABB,ACB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ABB,BID,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ABB,CTG,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ABB,EIB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ABB,HDB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ABB,LPB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ABB,MBB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ABB,MSB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ABB,OCB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ABB,SHB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ABB,SSB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ABB,STB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ABB,TCB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
