model,epoch,train_loss,train_mae,train_rmse,val_mae,val_rmse
GNN Correlation Only,1,0.002314991520712107,0.01009300909936428,0.013382700271904469,0.012858015485107899,0.017060330137610435
GNN Correlation Only,2,0.0001199090979606544,0.007885287515819073,0.010137287899851799,0.01073049008846283,0.014833390712738037
GNN Correlation Only,3,0.00010007816367320746,0.0076728216372430325,0.009838488884270191,0.010640486143529415,0.014836777001619339
GNN Correlation Only,4,9.603582105727025e-05,0.00741569884121418,0.009724567644298077,0.010673622600734234,0.015196949243545532
GNN Correlation Only,5,9.405987387459214e-05,0.007493293844163418,0.009606949985027313,0.010630306787788868,0.014919553883373737
GNN Correlation Only,6,9.22532005549123e-05,0.007989443838596344,0.0098094642162323,0.010739640332758427,0.014508545398712158
GNN Correlation Only,7,9.136872716724963e-05,0.007282838225364685,0.009436601772904396,0.010627520270645618,0.015079323202371597
GNN Correlation Only,8,8.87708236170452e-05,0.0071906824596226215,0.00935315154492855,0.010669747367501259,0.015181745402514935
GNN Correlation Only,9,8.650698093274954e-05,0.007135656196624041,0.009259809739887714,0.010633613914251328,0.015109284780919552
GNN Correlation Only,10,8.547587499525699e-05,0.007207356858998537,0.009165078401565552,0.010693197138607502,0.014932984486222267
GNN Correlation Only,11,8.387168582562628e-05,0.007034145295619965,0.009072829969227314,0.010670940391719341,0.01505022868514061
GNN Correlation Only,12,8.217071574049882e-05,0.006926815956830978,0.008995077572762966,0.01069877203553915,0.015187554992735386
GNN Correlation Only,13,8.112500185116886e-05,0.007049862295389175,0.008935173973441124,0.010794393718242645,0.015000890009105206
GNN Correlation Only,14,7.942272068542098e-05,0.006842232309281826,0.008856059052050114,0.010850866325199604,0.015306881628930569
GNN Correlation Only,15,7.834487839699573e-05,0.006750030908733606,0.008815896697342396,0.01084916666150093,0.01541746687144041
GNN Correlation Only,16,7.740488205942506e-05,0.006657192949205637,0.008739840239286423,0.010797631926834583,0.015418345108628273
GNN Correlation Only,17,7.624249631208517e-05,0.006698941346257925,0.008646480739116669,0.010919095017015934,0.015344095416367054
GNN Correlation Only,18,7.576458806250875e-05,0.006533099804073572,0.008730883710086346,0.01092495582997799,0.015756119042634964
GNN Correlation Only,19,7.500561790244143e-05,0.0065643079578876495,0.00856473296880722,0.011012062430381775,0.015586726367473602
