model,event_trading_date,n,mae,rmse,mean_y_true,mean_y_pred
Full Model,2025-07-31,38,0.008722938488455482,0.010437359020285659,0.02602467791324379,0.019073486789473685
Full Model,2025-08-01,56,0.009339152842177564,0.011991165504693764,0.02270971175416234,0.017008859151785714
Full Model,2025-08-04,93,0.007988689079231186,0.009627906006108734,0.020052293400650657,0.01624989321505376
Full Model,2025-08-05,64,0.007556391348931356,0.00844501756565304,0.017234828395885367,0.01774483915625
Full Model,2025-08-06,43,0.0071782035769553925,0.008372791503726463,0.018395411998553286,0.017397729220930233
Full Model,2025-08-07,84,0.007601933555448826,0.009295110285706377,0.021382174421367854,0.016472462083333337
Full Model,2025-08-08,52,0.008298560296316121,0.01008059411760047,0.02204600044597795,0.018199165317307694
Full Model,2025-08-11,66,0.008064770670968899,0.010323343898582315,0.0204010240197407,0.016747042848484852
Full Model,2025-08-12,89,0.009653689057403863,0.010967636488754243,0.02237273580290037,0.018499923702247192
Full Model,2025-08-13,91,0.009475292729656557,0.012826254753474105,0.02444609407601608,0.018485476565934068
Full Model,2025-08-14,95,0.009605397154648362,0.012337346952612476,0.023455602744300075,0.01675742752105263
Full Model,2025-08-15,86,0.013753022558025461,0.017709544561472584,0.02891002045294569,0.017067071767441856
Full Model,2025-08-18,83,0.019231683647084996,0.02607298242236898,0.03491221956280336,0.017135707692771087
Full Model,2025-08-19,50,0.02725803227720577,0.032304500128957254,0.04020799636840816,0.01363513752
Full Model,2025-08-20,40,0.023632066867222804,0.027679589439097093,0.03783446820452806,0.0151162841875
Full Model,2025-08-21,58,0.020964860158708836,0.023593566124824453,0.03664916458314859,0.017137201948275865
Full Model,2025-08-22,42,0.017642805649431784,0.02173682743875526,0.027782208774061394,0.015499796369047617
Full Model,2025-08-25,76,0.006945519006706668,0.008913017536601883,0.022652441476422664,0.02108141126973685
Full Model,2025-08-26,69,0.0063860311879885,0.007393565473125991,0.016923747862270726,0.021061700855072467
Full Model,2025-08-27,117,0.010381346320767452,0.013132904340247676,0.02378928370805628,0.021765849076923083
Full Model,2025-08-28,96,0.01018636457478313,0.011868801183896062,0.021611958686359335,0.01944742071875
Full Model,2025-08-29,216,0.011317974517779715,0.013783110367187353,0.025899308216240625,0.02101128105787037
Full Model,2025-09-03,140,0.008190062057553451,0.010910024951787835,0.023662234260700587,0.019705558067857145
Full Model,2025-09-04,59,0.009522700703803618,0.011627910444233966,0.02243107277110719,0.019699538237288136
Full Model,2025-09-05,82,0.009785564708850189,0.011582356293977799,0.024520005079599543,0.019204082243902444
Full Model,2025-09-08,65,0.005933388706626288,0.007729338706692974,0.017405288458730125,0.01997859435384615
Full Model,2025-09-09,71,0.006310025101662981,0.007486510929306438,0.015949858503389903,0.018177758323943662
Full Model,2025-09-10,24,0.004612702902885875,0.007845769422566137,0.01925560866948211,0.0186551479375
Full Model,2025-09-11,38,0.007347548021850693,0.0086064766692927,0.014074166869058385,0.015913891592105264
Full Model,2025-09-12,61,0.00807916352398552,0.010427808822564917,0.01751727308146651,0.016202256622950818
Full Model,2025-09-15,53,0.0068473288066843215,0.007834165732762945,0.012974150654561067,0.0168899120754717
