model,ticker,n,mae,rmse,mean_y_true,mean_y_pred
Full Model,AAA,22,0.006315479436156623,0.007577628466569572,0.016673358030278532,0.021490821454545454
Full Model,ABB,150,0.009889967773419661,0.012908440384123865,0.02359662706653273,0.015491758620000002
Full Model,ACB,139,0.00708667615206195,0.010164020417528572,0.013893282116330405,0.014418515881294966
Full Model,ACL,15,0.012545753520848753,0.01635202057563932,0.025990187066296713,0.0202890296
Full Model,ACV,30,0.006293343622140137,0.007099381844762787,0.014063618953029258,0.016139545416666665
Full Model,AGG,33,0.007865486584510358,0.009280391657744962,0.015822680977483544,0.020534068090909092
Full Model,AGR,26,0.015747409612306886,0.019513324234325922,0.03193087589282252,0.02275410607692308
Full Model,ANV,18,0.013237193960660561,0.01598070814442478,0.028068463473270282,0.016994074
Full Model,APH,12,0.008468860078974225,0.009453903945759132,0.015238300043468642,0.02176429083333334
Full Model,AST,15,0.006166172419012474,0.0080095056781969,0.016535519498089915,0.015952220866666665
Full Model,BAF,34,0.008168818878877958,0.010237328860330111,0.01166851770625827,0.016851014882352938
Full Model,BCM,104,0.008666550921030426,0.00950826908058424,0.013754381574332104,0.019732070721153846
Full Model,BFC,14,0.006820683881251157,0.008120583159670357,0.01677499841233444,0.020195007428571433
Full Model,BID,147,0.005567916831144233,0.00711533078630869,0.01542633287228487,0.014108186673469386
Full Model,BMP,17,0.013223524961802723,0.014710513563702707,0.020044542739496466,0.021108491705882353
Full Model,BSI,40,0.009725689383291849,0.010870120563670819,0.020849076542071947,0.02225117715
Full Model,BSR,122,0.014340831699070635,0.019919817008243485,0.028341534589493567,0.01654555849590164
Full Model,BWE,60,0.00592138130871124,0.007105290893426457,0.01076264783429598,0.01453041825
Full Model,C4G,20,0.004734429583748155,0.005067018942146576,0.01914835702627892,0.021133972100000002
Full Model,CMG,30,0.007285080846327772,0.008523323492247383,0.016959746244053,0.018392794650000002
Full Model,CRE,42,0.010662054344429786,0.01281253811300847,0.03119663463994147,0.021729811333333335
Full Model,CSV,35,0.007283627075238022,0.008735733826875166,0.019796141609549463,0.020617039457142855
Full Model,CTD,48,0.01003213556476168,0.012597138735234943,0.023753221884059355,0.020953741041666668
Full Model,CTG,113,0.007640215808266712,0.009505921207039898,0.01768970522469118,0.014060058862831858
Full Model,CTS,96,0.009483853941602062,0.012570479908873137,0.029397522041108404,0.02242392292708333
Full Model,DBC,34,0.004923608585061491,0.007240035020728307,0.01732885391752722,0.017971483411764706
Full Model,DBD,32,0.009917020060215446,0.010457515365676419,0.006282077105424784,0.016095327796875
Full Model,DCM,20,0.0071220866702858005,0.009989396408128529,0.020234979363158302,0.020968491899999993
Full Model,DGC,34,0.01125215313350524,0.013109481325748691,0.01971978472326602,0.021021627279411762
Full Model,DGW,55,0.009436780323214263,0.01186035317107556,0.02320613246411081,0.015730975127272732
Full Model,DHG,10,0.0098458040928649,0.011546508118028282,0.00850917657371606,0.0179075644
Full Model,DIG,146,0.012899160290172733,0.016589886668081002,0.03343562774156051,0.021986724431506847
Full Model,DMC,18,0.00902317992001969,0.009483693414087759,0.007250579746646978,0.016273759666666665
Full Model,DPG,55,0.008414632187514627,0.010329585102936807,0.024710472097450985,0.020457342054545455
Full Model,DPM,77,0.008650401900045531,0.010326503676221666,0.017930137066097963,0.0212500932987013
Full Model,DXG,121,0.014657918665182684,0.01788939338766907,0.033914397817012644,0.021582546338842976
Full Model,EIB,36,0.009786082185590182,0.0133382192886644,0.024024728478656828,0.015379330583333331
Full Model,ELC,31,0.008384078685808417,0.009718509123144063,0.012348696604491196,0.018341557193548387
Full Model,FCN,21,0.006631367821531194,0.009425378856851428,0.024439580561149647,0.020826530904761904
Full Model,FMC,14,0.005623285730139948,0.0068856591829241694,0.009778602198431479,0.01540188792857143
Full Model,FOX,20,0.01031518599562924,0.011227940716929103,0.017639097152277784,0.018550117750000004
Full Model,FPT,74,0.00588671169592038,0.007129754177057596,0.018417731084785303,0.018792831918918916
Full Model,FRT,24,0.00681298110975248,0.008690723526373373,0.016519368509761937,0.0180828998125
Full Model,FTS,30,0.007821840109981217,0.009987660005576696,0.021687978537132294,0.021822949800000005
Full Model,GAS,38,0.006494706014385832,0.007915892353752908,0.015464747361348593,0.01513774152631579
Full Model,GEG,22,0.005645378174241082,0.006458823497178857,0.016169416019692965,0.015260593409090915
Full Model,GEX,41,0.014717385916536069,0.018623946749116126,0.03136492963516852,0.018469446585365853
Full Model,GMD,35,0.007100111468346815,0.008721939157166462,0.019711395233337318,0.017496184185714286
Full Model,GVR,23,0.0075523183611305115,0.010048703196021828,0.02184238122857132,0.020581935565217396
Full Model,HAH,46,0.008387110452382732,0.011282354197148101,0.02286884798060937,0.017698551586956518
Full Model,HCM,197,0.008275585078698432,0.009660462040790964,0.01944448340088502,0.02201176556345178
Full Model,HDB,123,0.011272645725782154,0.015294584044677656,0.024143592575640648,0.014473878544715447
Full Model,HDG,22,0.013716559280863743,0.016234679329209467,0.03331156616861167,0.022949047818181814
Full Model,HHV,35,0.006566326333507617,0.007921752805343737,0.023008519291345522,0.02056703382857143
Full Model,HPG,49,0.0066617134936132975,0.0077972264238386196,0.019528099962947267,0.021040810285714286
Full Model,HSG,28,0.009490437601456571,0.010574932997155796,0.014155764199261092,0.02048723221428572
Full Model,IDI,15,0.00473791249713332,0.005293469364783861,0.01611659570286668,0.020854508199999996
Full Model,IJC,95,0.005489864145138398,0.007228596471147967,0.021944307094733915,0.02065498530526316
Full Model,IMP,16,0.006563907488888788,0.00798412125704179,0.01466846957919184,0.016889635562499998
Full Model,JVC,47,0.014259178584061762,0.015800176300578343,0.027190391093175413,0.01704894117021277
Full Model,KBC,38,0.0080772229952187,0.00996041442592929,0.024181161884610544,0.020842786
Full Model,KDC,52,0.006320516444168381,0.008492619410073354,0.012355966068123635,0.013260555596153847
Full Model,KDH,90,0.00887790494953626,0.010611977486978334,0.02245367867872114,0.022198356722222225
Full Model,LCG,29,0.01679015093194262,0.019928347779143152,0.03151400377652763,0.020328332206896556
Full Model,LPB,89,0.008908659176300675,0.011256817083307752,0.021081763361528307,0.014725326713483148
Full Model,LTG,6,0.0049740334575346335,0.005436293578746997,0.0091240843757987,0.014098117833333333
Full Model,MBB,113,0.008057672063245588,0.009977050617480391,0.01964542895670877,0.014230300106194691
Full Model,MSB,197,0.009341345977913732,0.013722787532533193,0.021826389626254702,0.014681688299492388
Full Model,MSN,86,0.007656198870736776,0.010140811841215775,0.019276200717878153,0.018221778186046516
Full Model,MWG,53,0.0068579675813301355,0.008643308467300288,0.02063988012103535,0.017437005216981133
Full Model,NKG,21,0.006424118114484247,0.00736318029294104,0.02361742775177667,0.021673754238095238
Full Model,NLG,83,0.009739523441673389,0.012966763832531931,0.027815092388675102,0.020605144481927712
Full Model,NT2,11,0.008754013797511463,0.011603162066592225,0.023676105097613517,0.01570004745454545
Full Model,NTL,31,0.007370190646643422,0.010466012255297277,0.023941339714632838,0.020489138838709682
Full Model,OCB,113,0.008149260562980673,0.01346765711300961,0.01928265971766236,0.013982113044247789
Full Model,ORS,63,0.011526476195494776,0.01461437605528507,0.029841333539003388,0.02368612871428571
Full Model,PAN,50,0.01017394685727846,0.011665481778036814,0.019282385390251826,0.01811394542
Full Model,PC1,43,0.009553773087973644,0.012645601216803175,0.023629851357708093,0.020259509255813955
Full Model,PDR,146,0.010721232875978598,0.013463123905730064,0.029843578676450693,0.0225859781369863
Full Model,PGV,21,0.007486968803101975,0.008554976249371056,0.010075806928355004,0.013946061452380951
Full Model,PHR,26,0.006131199617828708,0.008533180842080119,0.01404464671101703,0.02006683815384615
Full Model,PLX,38,0.00393569284671006,0.0052132323438328805,0.014238528061756125,0.016009656723684207
Full Model,PNJ,71,0.00635699589422029,0.008317742100639186,0.011517998500084331,0.015026390626760562
Full Model,POW,36,0.006910599517417831,0.009512274290735945,0.020491466029650605,0.016015372777777773
Full Model,PPC,10,0.006465867078312909,0.00737390696464482,0.0076609022216870895,0.014126769299999998
Full Model,PVD,68,0.00680069887730062,0.009010889389508654,0.02004692270694406,0.01666708664705882
Full Model,PVS,19,0.010441221677306087,0.011931331211820632,0.018216073684590387,0.01674327655263158
Full Model,QNS,64,0.009895625407319301,0.010525213549103421,0.005938639998930698,0.01583426540625
Full Model,REE,48,0.006083705242231706,0.007168833637800394,0.011371248207675863,0.016399218375
Full Model,SAB,18,0.011586921660938072,0.012180660955400213,0.007538167061284149,0.019125088722222225
Full Model,SCR,23,0.009179904076128734,0.010393043826413326,0.023445139639079533,0.022681259739130436
Full Model,SCS,15,0.00479182298938526,0.0061132909912143645,0.011391277176638409,0.014588027046666667
Full Model,SGN,39,0.010180120537416465,0.011162844668544133,0.0060099917702758476,0.016190112307692302
Full Model,SHB,115,0.00794435238753618,0.011079857106340069,0.0203587345697957,0.014802538408695649
Full Model,SIP,34,0.0062657005869767735,0.007932266846655102,0.017667558509856435,0.019583861764705883
Full Model,SSB,156,0.009598047382064932,0.014008312873816304,0.019876637654259562,0.01405187344230769
Full Model,SSI,85,0.007379340722377682,0.008992717828879598,0.025628579353146653,0.02268925045882353
Full Model,STB,75,0.012723724301924012,0.015424012572319254,0.025151823653529033,0.013884122997333331
Full Model,SZC,70,0.006596195349550904,0.008159168826271752,0.016812298061060004,0.01879402574285714
Full Model,TCB,115,0.006657894177577712,0.008052296365383377,0.019002729727198197,0.01432889368695652
Full Model,TPB,221,0.00638380781136643,0.009916520519918296,0.019890625076157697,0.014359595165158372
