model,category,n,mae,rmse,mean_y_true,mean_y_pred
Full Model,capital_issuance,379,0.0095736741338332,0.0130363599112667,0.0214371863877926,0.0178868514340369
Full Model,debt_bond,700,0.0077399448436837,0.010925742996334,0.01947658980997,0.0162426723242857
Full Model,dividend,173,0.007618846622953,0.010436709329561,0.0182879205464756,0.0155904830491329
Full Model,earnings,633,0.0089450454129108,0.0112378595375777,0.0215687385659464,0.0204551955379146
Full Model,leadership,948,0.0090948007074072,0.0117351387557021,0.0206745331655039,0.0174238829857594
Full Model,legal_regulatory,86,0.0095593437136764,0.0124069172482509,0.0196443106979131,0.0180636169709302
Full Model,ma_ownership,261,0.010323676093156,0.0139660838567482,0.0238655684194687,0.0186939443697318
Full Model,market_industry,108,0.0127067326080961,0.018525432584365,0.0263723631354945,0.0168804452824074
Full Model,other,3347,0.0089661509080748,0.0118868636725771,0.0215869458560745,0.0182342671789662
Full Model,project_contract,92,0.0107574029233606,0.0155052893269954,0.0221028513700255,0.016720723375
GNN + News,capital_issuance,379,0.0094391699185672,0.0130020684007125,0.0214371863877926,0.0173857484379947
GNN + News,debt_bond,700,0.0079233969971772,0.0111370639478555,0.01947658980997,0.015808380495
GNN + News,dividend,173,0.0074541331335048,0.0104736045593477,0.0182879205464756,0.0150909298352601
GNN + News,earnings,633,0.008896009761879,0.0112798454452718,0.0215687385659464,0.0199594090039494
GNN + News,leadership,948,0.0090394544047593,0.0115664993762687,0.0206745331655039,0.017410964028481
GNN + News,legal_regulatory,86,0.0100985227371953,0.0128046874082165,0.0196443106979131,0.0178310387209302
GNN + News,ma_ownership,261,0.0104324452941587,0.0141469288715902,0.0238655684194687,0.0182976804252873
GNN + News,market_industry,108,0.0132081191576428,0.0188438960027093,0.0263723631354945,0.0157773543092592
GNN + News,other,3347,0.0090363560311507,0.0119480349327677,0.0215869458560745,0.0181415814740962
GNN + News,project_contract,92,0.0113843805851842,0.0156445023725166,0.0221028513700255,0.0177589053641304
GNN + Relationship,capital_issuance,379,0.0097465988065516,0.0131746834964294,0.0214371863877926,0.0180489217453825
GNN + Relationship,debt_bond,700,0.0081141720223346,0.0115270594823759,0.01947658980997,0.0147957176464285
GNN + Relationship,dividend,173,0.0077263472234232,0.0102079847386908,0.0182879205464756,0.0171992167630057
GNN + Relationship,earnings,633,0.0088959864890971,0.0114790995230597,0.0215687385659464,0.0186973877733017
GNN + Relationship,leadership,948,0.009093713033068,0.0117280745561119,0.0206745331655039,0.0172905500105485
GNN + Relationship,legal_regulatory,86,0.0098518528422162,0.0124748759409546,0.0196443106979131,0.0180606806767441
GNN + Relationship,ma_ownership,261,0.0102427444161485,0.0138519842787748,0.0238655684194687,0.0185476383773946
GNN + Relationship,market_industry,108,0.0125523371509609,0.0179881032282051,0.0263723631354945,0.0186245139027777
GNN + Relationship,other,3347,0.0090521461190772,0.0120099779168668,0.0215869458560745,0.0181268637611293
GNN + Relationship,project_contract,92,0.0109444500842556,0.0151412210555678,0.0221028513700255,0.0181090422826087
GNN Correlation Only,capital_issuance,758,0.0095362291933903,0.0130768209822251,0.0214371863877926,0.0175218098344327
GNN Correlation Only,debt_bond,1400,0.0080641666698882,0.0114930571691371,0.01947658980997,0.0145400748175
GNN Correlation Only,dividend,346,0.0074685350642923,0.0100651848032992,0.0182879205464756,0.016598959001445
GNN Correlation Only,earnings,1266,0.0088478237222912,0.0114745300689005,0.0215687385659464,0.0184106446457345
GNN Correlation Only,leadership,1896,0.0090193004056515,0.011707652777283,0.0206745331655039,0.016811154386867
GNN Correlation Only,legal_regulatory,172,0.0098254392660534,0.0127200642343965,0.0196443106979131,0.0176932633343023
GNN Correlation Only,ma_ownership,522,0.0101519438527544,0.0137518912044708,0.0238655684194687,0.0183004896590038
GNN Correlation Only,market_industry,216,0.0122094728569794,0.0176504597057149,0.0263723631354945,0.0187438954699074
GNN Correlation Only,other,6694,0.0089526809923031,0.0119548995128871,0.0215869458560745,0.0177516764909321
GNN Correlation Only,project_contract,184,0.0106563510855501,0.0150170195667095,0.0221028513700255,0.0175334776820652
Linear Regression,capital_issuance,379,0.0084807743431779,0.0114482645557537,0.0214371863877926,0.0191488743759894
Linear Regression,debt_bond,700,0.0071323726658304,0.0100878688814343,0.01947658980997,0.0179456193228571
Linear Regression,dividend,173,0.0069633549715238,0.0094182611226418,0.0182879205464756,0.0176398106358381
Linear Regression,earnings,633,0.0081647183796187,0.0102124681681784,0.0215687385659464,0.0219346237456556
Linear Regression,leadership,948,0.0081652805838533,0.0102751529367561,0.0206745331655039,0.0195149127825949
Linear Regression,legal_regulatory,86,0.0093181961004596,0.0120781066843488,0.0196443106979131,0.0182501105034883
Linear Regression,ma_ownership,261,0.0091130407714505,0.0121824145174642,0.0238655684194687,0.021079783275862
Linear Regression,market_industry,108,0.0108791703473348,0.0157277267640408,0.0263723631354945,0.0201293627222222
Linear Regression,other,3347,0.0080912463201935,0.0105820593920322,0.0215869458560745,0.0202769327005676
Linear Regression,project_contract,92,0.0094783354723956,0.0133762600245357,0.0221028513700255,0.0177220883684782
Random Forest,capital_issuance,379,0.0086477138550609,0.0113800678655968,0.0214371863877926,0.0199857413443271
Random Forest,debt_bond,700,0.0071567432867326,0.0097806220646091,0.01947658980997,0.01823421226
Random Forest,dividend,173,0.0072736430402628,0.009525874950746,0.0182879205464756,0.018488916067052
Random Forest,earnings,633,0.0081802117138774,0.0105433851527058,0.0215687385659464,0.0204112133597156
Random Forest,leadership,948,0.0080220982316014,0.0101882232689566,0.0206745331655039,0.0196090716412447
Random Forest,legal_regulatory,86,0.0091455125783928,0.0119105463245824,0.0196443106979131,0.0191011562174418
Random Forest,ma_ownership,261,0.0093354052368776,0.0122856502341674,0.0238655684194687,0.0215381200766283
Random Forest,market_industry,108,0.010549282025148,0.0145620747740368,0.0263723631354945,0.0215501634166666
Random Forest,other,3347,0.0080804322546621,0.0105331445601851,0.0215869458560745,0.0203368165266806
Random Forest,project_contract,92,0.0093410758169183,0.0132322672417594,0.0221028513700255,0.0182346739021739
Rolling Volatility,capital_issuance,379,0.0089722027800159,0.0113323647187975,0.0214371863877926,0.0229699611567282
Rolling Volatility,debt_bond,700,0.0081970419642204,0.0108975286340172,0.01947658980997,0.0217443885668571
Rolling Volatility,dividend,173,0.0082099657937218,0.0105085861485304,0.0182879205464756,0.0211454572271676
Rolling Volatility,earnings,633,0.0087652230691253,0.0109965448404503,0.0215687385659464,0.0231767375126382
Rolling Volatility,leadership,948,0.008668407623225,0.0107789521161983,0.0206745331655039,0.0227829137502109
Rolling Volatility,legal_regulatory,86,0.0099583532752649,0.0125500788595657,0.0196443106979131,0.0205676429302325
Rolling Volatility,ma_ownership,261,0.0099409178681852,0.012484033010341,0.0238655684194687,0.0255744691367816
Rolling Volatility,market_industry,108,0.0102872807415254,0.0138064652397622,0.0263723631354945,0.0253321175277777
Rolling Volatility,other,3347,0.0087715577528379,0.0111173661637931,0.0215869458560745,0.0235497860846429
Rolling Volatility,project_contract,92,0.0096320910014982,0.0125399325835732,0.0221028513700255,0.0210207711717391
