model,ticker,n,mae,rmse,mean_y_true,mean_y_pred
Full Model,AAA,22,0.0063154794361566,0.0075776284665695,0.0166733580302785,0.0214908214545454
Full Model,ABB,150,0.0098899677734196,0.0129084403841238,0.0235966270665327,0.01549175862
Full Model,ACB,139,0.0070866761520619,0.0101640204175285,0.0138932821163304,0.0144185158812949
Full Model,ACL,15,0.0125457535208487,0.0163520205756393,0.0259901870662967,0.0202890296
Full Model,ACV,30,0.0062933436221401,0.0070993818447627,0.0140636189530292,0.0161395454166666
Full Model,AGG,33,0.0078654865845103,0.0092803916577449,0.0158226809774835,0.020534068090909
Full Model,AGR,26,0.0157474096123068,0.0195133242343259,0.0319308758928225,0.022754106076923
Full Model,ANV,18,0.0132371939606605,0.0159807081444247,0.0280684634732702,0.016994074
Full Model,APH,12,0.0084688600789742,0.0094539039457591,0.0152383000434686,0.0217642908333333
Full Model,AST,15,0.0061661724190124,0.0080095056781969,0.0165355194980899,0.0159522208666666
Full Model,BAF,34,0.0081688188788779,0.0102373288603301,0.0116685177062582,0.0168510148823529
Full Model,BCM,104,0.0086665509210304,0.0095082690805842,0.0137543815743321,0.0197320707211538
Full Model,BFC,14,0.0068206838812511,0.0081205831596703,0.0167749984123344,0.0201950074285714
Full Model,BID,147,0.0055679168311442,0.0071153307863086,0.0154263328722848,0.0141081866734693
Full Model,BMP,17,0.0132235249618027,0.0147105135637027,0.0200445427394964,0.0211084917058823
Full Model,BSI,40,0.0097256893832918,0.0108701205636708,0.0208490765420719,0.02225117715
Full Model,BSR,122,0.0143408316990706,0.0199198170082434,0.0283415345894935,0.0165455584959016
Full Model,BWE,60,0.0059213813087112,0.0071052908934264,0.0107626478342959,0.01453041825
Full Model,C4G,20,0.0047344295837481,0.0050670189421465,0.0191483570262789,0.0211339721
Full Model,CMG,30,0.0072850808463277,0.0085233234922473,0.016959746244053,0.01839279465
Full Model,CRE,42,0.0106620543444297,0.0128125381130084,0.0311966346399414,0.0217298113333333
Full Model,CSV,35,0.007283627075238,0.0087357338268751,0.0197961416095494,0.0206170394571428
Full Model,CTD,48,0.0100321355647616,0.0125971387352349,0.0237532218840593,0.0209537410416666
Full Model,CTG,113,0.0076402158082667,0.0095059212070398,0.0176897052246911,0.0140600588628318
Full Model,CTS,96,0.009483853941602,0.0125704799088731,0.0293975220411084,0.0224239229270833
Full Model,DBC,34,0.0049236085850614,0.0072400350207283,0.0173288539175272,0.0179714834117647
Full Model,DBD,32,0.0099170200602154,0.0104575153656764,0.0062820771054247,0.016095327796875
Full Model,DCM,20,0.0071220866702858,0.0099893964081285,0.0202349793631583,0.0209684918999999
Full Model,DGC,34,0.0112521531335052,0.0131094813257486,0.019719784723266,0.0210216272794117
Full Model,DGW,55,0.0094367803232142,0.0118603531710755,0.0232061324641108,0.0157309751272727
Full Model,DHG,10,0.0098458040928649,0.0115465081180282,0.008509176573716,0.0179075644
Full Model,DIG,146,0.0128991602901727,0.016589886668081,0.0334356277415605,0.0219867244315068
Full Model,DMC,18,0.0090231799200196,0.0094836934140877,0.0072505797466469,0.0162737596666666
Full Model,DPG,55,0.0084146321875146,0.0103295851029368,0.0247104720974509,0.0204573420545454
Full Model,DPM,77,0.0086504019000455,0.0103265036762216,0.0179301370660979,0.0212500932987013
Full Model,DXG,121,0.0146579186651826,0.017889393387669,0.0339143978170126,0.0215825463388429
Full Model,EIB,36,0.0097860821855901,0.0133382192886644,0.0240247284786568,0.0153793305833333
Full Model,ELC,31,0.0083840786858084,0.009718509123144,0.0123486966044911,0.0183415571935483
Full Model,FCN,21,0.0066313678215311,0.0094253788568514,0.0244395805611496,0.0208265309047619
Full Model,FMC,14,0.0056232857301399,0.0068856591829241,0.0097786021984314,0.0154018879285714
Full Model,FOX,20,0.0103151859956292,0.0112279407169291,0.0176390971522777,0.01855011775
Full Model,FPT,74,0.0058867116959203,0.0071297541770575,0.0184177310847853,0.0187928319189189
Full Model,FRT,24,0.0068129811097524,0.0086907235263733,0.0165193685097619,0.0180828998125
Full Model,FTS,30,0.0078218401099812,0.0099876600055766,0.0216879785371322,0.0218229498
Full Model,GAS,38,0.0064947060143858,0.0079158923537529,0.0154647473613485,0.0151377415263157
Full Model,GEG,22,0.005645378174241,0.0064588234971788,0.0161694160196929,0.0152605934090909
Full Model,GEX,41,0.014717385916536,0.0186239467491161,0.0313649296351685,0.0184694465853658
Full Model,GMD,35,0.0071001114683468,0.0087219391571664,0.0197113952333373,0.0174961841857142
Full Model,GVR,23,0.0075523183611305,0.0100487031960218,0.0218423812285713,0.0205819355652173
Full Model,HAH,46,0.0083871104523827,0.0112823541971481,0.0228688479806093,0.0176985515869565
Full Model,HCM,197,0.0082755850786984,0.0096604620407909,0.019444483400885,0.0220117655634517
Full Model,HDB,123,0.0112726457257821,0.0152945840446776,0.0241435925756406,0.0144738785447154
Full Model,HDG,22,0.0137165592808637,0.0162346793292094,0.0333115661686116,0.0229490478181818
Full Model,HHV,35,0.0065663263335076,0.0079217528053437,0.0230085192913455,0.0205670338285714
Full Model,HPG,49,0.0066617134936132,0.0077972264238386,0.0195280999629472,0.0210408102857142
Full Model,HSG,28,0.0094904376014565,0.0105749329971557,0.014155764199261,0.0204872322142857
Full Model,IDI,15,0.0047379124971333,0.0052934693647838,0.0161165957028666,0.0208545081999999
Full Model,IJC,95,0.0054898641451383,0.0072285964711479,0.0219443070947339,0.0206549853052631
Full Model,IMP,16,0.0065639074888887,0.0079841212570417,0.0146684695791918,0.0168896355624999
Full Model,JVC,47,0.0142591785840617,0.0158001763005783,0.0271903910931754,0.0170489411702127
Full Model,KBC,38,0.0080772229952187,0.0099604144259292,0.0241811618846105,0.020842786
Full Model,KDC,52,0.0063205164441683,0.0084926194100733,0.0123559660681236,0.0132605555961538
Full Model,KDH,90,0.0088779049495362,0.0106119774869783,0.0224536786787211,0.0221983567222222
Full Model,LCG,29,0.0167901509319426,0.0199283477791431,0.0315140037765276,0.0203283322068965
Full Model,LPB,89,0.0089086591763006,0.0112568170833077,0.0210817633615283,0.0147253267134831
Full Model,LTG,6,0.0049740334575346,0.0054362935787469,0.0091240843757987,0.0140981178333333
Full Model,MBB,113,0.0080576720632455,0.0099770506174803,0.0196454289567087,0.0142303001061946
Full Model,MSB,197,0.0093413459779137,0.0137227875325331,0.0218263896262547,0.0146816882994923
Full Model,MSN,86,0.0076561988707367,0.0101408118412157,0.0192762007178781,0.0182217781860465
Full Model,MWG,53,0.0068579675813301,0.0086433084673002,0.0206398801210353,0.0174370052169811
Full Model,NKG,21,0.0064241181144842,0.007363180292941,0.0236174277517766,0.0216737542380952
Full Model,NLG,83,0.0097395234416733,0.0129667638325319,0.0278150923886751,0.0206051444819277
Full Model,NT2,11,0.0087540137975114,0.0116031620665922,0.0236761050976135,0.0157000474545454
