experiment,model,feature_count,input_dim,split,mae,rmse
price_macro,Random Forest,30,30,test,0.00802072137594223,0.010573153384029865
price_micro,Random Forest,24,24,test,0.008021842688322067,0.01057376153767109
price_only,Random Forest,22,22,test,0.008022185415029526,0.010574699379503727
price_micro_macro,Random Forest,32,32,test,0.008022600784897804,0.010574753396213055
top_20_rf,Random Forest,20,20,test,0.008025082759559155,0.010592733509838581
top_10_rf,Random Forest,10,10,test,0.008063375018537045,0.010677048936486244
top_10_rf,Linear Regression,10,10,test,0.008102827705442905,0.010676268488168716
price_only,Linear Regression,22,22,test,0.008104643784463406,0.010682513006031513
price_macro,Linear Regression,30,30,test,0.00810464471578598,0.010682512074708939
price_micro,Linear Regression,24,24,test,0.00810464471578598,0.010682513006031513
price_micro_macro,Linear Regression,32,32,test,0.00810464471578598,0.010682513006031513
top_30_rf,Random Forest,30,30,test,0.008107829838991165,0.010646894574165344
top_20_rf,Linear Regression,20,20,test,0.008111092261970043,0.010688862763345242
price_industry_news,Linear Regression,49,49,test,0.008112983778119087,0.010692575015127659
top_30_rf,Linear Regression,30,30,test,0.008114773780107498,0.010682495310902596
full_59,Linear Regression,59,59,test,0.008116934448480606,0.010698999278247356
price_industry_news,Random Forest,49,49,test,0.00811980664730072,0.010660937055945396
full_59,Random Forest,59,59,test,0.00812057126313448,0.010661245323717594
price_macro,Selected One-Hop Graph MLP,30,60,test,0.009115311317145824,0.012308168224990368
top_30_rf,Selected One-Hop Graph MLP,30,60,test,0.009121066890656948,0.012356573715806007
price_only,Selected One-Hop Graph MLP,22,44,test,0.00916227325797081,0.01238938421010971
price_micro,Selected One-Hop Graph MLP,24,48,test,0.009163018316030502,0.012398847378790379
price_industry_news,Selected One-Hop Graph MLP,49,98,test,0.009186020120978355,0.012449651025235653
top_20_rf,Selected One-Hop Graph MLP,20,40,test,0.00920049101114273,0.012505149468779564
price_micro_macro,Selected One-Hop Graph MLP,32,64,test,0.00926978699862957,0.012632040306925774
full_59,Selected One-Hop Graph MLP,59,118,test,0.009310559369623661,0.012662154622375965
top_10_rf,Selected One-Hop Graph MLP,10,20,test,0.00934949703514576,0.012769445776939392
full_59,Selected One-Hop Graph MLP,59,118,validation,0.010719573125243187,0.015197155997157097
price_industry_news,Selected One-Hop Graph MLP,49,98,validation,0.01077649649232626,0.015311016701161861
top_30_rf,Selected One-Hop Graph MLP,30,60,validation,0.010877620428800583,0.015320011414587498
price_macro,Selected One-Hop Graph MLP,30,60,validation,0.010982858948409557,0.01503681018948555
price_micro,Selected One-Hop Graph MLP,24,48,validation,0.011039180681109428,0.015172277577221394
top_10_rf,Selected One-Hop Graph MLP,10,20,validation,0.01107338909059763,0.015518398024141788
top_20_rf,Selected One-Hop Graph MLP,20,40,validation,0.011081613600254059,0.01550200767815113
price_micro_macro,Selected One-Hop Graph MLP,32,64,validation,0.011110777966678143,0.015590887516736984
price_only,Selected One-Hop Graph MLP,22,44,validation,0.011124653741717339,0.015442991629242897
price_industry_news,Linear Regression,49,49,validation,0.011349122039973736,0.015685802325606346
full_59,Linear Regression,59,59,validation,0.011351188644766808,0.01568843610584736
top_30_rf,Linear Regression,30,30,validation,0.011362193152308464,0.015698513016104698
top_10_rf,Random Forest,10,10,validation,0.01149249728769064,0.015936188399791718
full_59,Random Forest,59,59,validation,0.011493835598230362,0.015899045392870903
price_industry_news,Random Forest,49,49,validation,0.011496067978441715,0.015900157392024994
top_30_rf,Random Forest,30,30,validation,0.011518940329551697,0.01592024229466915
price_only,Linear Regression,22,22,validation,0.011560949496924877,0.015907585620880127
price_macro,Linear Regression,30,30,validation,0.011560965329408646,0.01590760424733162
price_micro,Linear Regression,24,24,validation,0.011560965329408646,0.01590760424733162
price_micro_macro,Linear Regression,32,32,validation,0.011560965329408646,0.01590760424733162
price_macro,Random Forest,30,30,validation,0.011589258909225464,0.01601015217602253
price_micro,Random Forest,24,24,validation,0.011590232141315937,0.01601085439324379
price_only,Random Forest,22,22,validation,0.01159053947776556,0.016010228544473648
price_micro_macro,Random Forest,32,32,validation,0.011590962298214436,0.01601201854646206
top_20_rf,Random Forest,20,20,validation,0.011592448689043522,0.016024291515350342
top_20_rf,Linear Regression,20,20,validation,0.01164974458515644,0.015980886295437813
top_10_rf,Linear Regression,10,10,validation,0.011733201332390308,0.01605377346277237
