model,category,n,mae,rmse,mean_y_true,mean_y_pred
Full Model,capital_issuance,183,0.6223601261055042,0.7487018021367505,-0.021802491218340204,-0.036990041524590164
Full Model,debt_bond,439,0.5685686754494104,0.7080260606581551,-0.11993857590332606,-0.12414402177927107
Full Model,dividend,151,0.5634922184813626,0.6723824404513267,-0.039072536147933525,-0.024201133182781463
Full Model,earnings,573,0.6270798416438488,0.7560858168866099,-0.01436807292214486,0.24796638813664923
Full Model,leadership,349,0.5769762137443626,0.7097241827597806,-0.07683255555032135,-0.04464745856647564
Full Model,legal_regulatory,86,0.6459304922316075,0.7909178430933206,-0.11731149629841364,0.0034397091976744146
Full Model,ma_ownership,431,0.5699133606366905,0.6926248324737019,-0.08025613706612963,-0.029432829965197218
Full Model,market_industry,403,0.5961975517199456,0.7248587228042795,-0.0461888198414933,0.011259297901488836
Full Model,other,877,0.5876866675197358,0.7242571350870235,-0.08779166017880954,-0.009905865527879146
Full Model,project_contract,146,0.6102616656973056,0.7503952059893657,0.02744067188715945,-0.08058287008356166
GNN + News,capital_issuance,183,0.6324298275370493,0.7645759086549597,-0.021802491218340204,-0.16206938222404368
GNN + News,debt_bond,439,0.545566905695729,0.6837888716051679,-0.11993857590332606,-0.13112717986548975
GNN + News,dividend,151,0.5574080518570845,0.7055213016273706,-0.039072536147933525,-0.12935631165827813
GNN + News,earnings,573,0.6070788549042452,0.7262844950076569,-0.01436807292214486,0.17573331745776616
GNN + News,leadership,349,0.5766588741286355,0.7011740411461864,-0.07683255555032135,-0.07142395645444125
GNN + News,legal_regulatory,86,0.5590256249026988,0.6867937340127277,-0.11731149629841364,-0.05048691841279068
GNN + News,ma_ownership,431,0.5663822109713832,0.6942797750551053,-0.08025613706612963,-0.05758596576264501
GNN + News,market_industry,403,0.6006356089336529,0.7281612662344373,-0.0461888198414933,-0.04121160079106699
GNN + News,other,877,0.5895204907086193,0.7207224105059721,-0.08779166017880954,-0.03278634163888255
GNN + News,project_contract,146,0.6040416293441361,0.7566874542874081,0.02744067188715945,-0.17349210406301369
GNN + Relationship,capital_issuance,183,0.652646146678717,0.7648885242302798,-0.021802491218340204,0.061965403079234975
GNN + Relationship,debt_bond,439,0.5910378532268141,0.7306340432694515,-0.11993857590332606,0.0025272860659908895
GNN + Relationship,dividend,151,0.6516430749007099,0.7671584862219586,-0.039072536147933525,0.1201133798107947
GNN + Relationship,earnings,573,0.6257088389175702,0.7570041896898865,-0.01436807292214486,0.2001688118230367
GNN + Relationship,leadership,349,0.6077952862568277,0.736514046323065,-0.07683255555032135,0.05320001231203438
GNN + Relationship,legal_regulatory,86,0.671641930167657,0.7994361324142476,-0.11731149629841364,0.14698296053255813
GNN + Relationship,ma_ownership,431,0.618815483146376,0.7388694579083622,-0.08025613706612963,0.06463206204153132
GNN + Relationship,market_industry,403,0.6277905543994027,0.7555382683684314,-0.0461888198414933,0.0639397279426799
GNN + Relationship,other,877,0.6275645734761978,0.7539054802297668,-0.08779166017880954,0.11642962619794757
GNN + Relationship,project_contract,146,0.5796071172095777,0.6865988575585993,0.02744067188715945,0.11797963788424656
GNN Correlation Only,capital_issuance,366,0.6660056679914422,0.7741533030822809,-0.0218024912183402,0.06469269064385245
