model,event_trading_date,n,mae,rmse,mean_y_true,mean_y_pred
Full Model,2025-07-21,48,0.47138859448759535,0.5439971607404666,0.046077619617184006,0.25756984608333333
Full Model,2025-07-22,30,0.7640991784280351,0.8697313032374958,0.9995107176713646,0.39027190256666666
Full Model,2025-07-23,30,0.7751195938059268,0.8857899393676564,0.9202205285429954,0.23004105553333334
Full Model,2025-07-24,31,0.834554674918636,0.9514425723398837,0.9343916881949671,0.24186622148387096
Full Model,2025-07-25,45,0.7871694723714486,0.883472181436108,0.7596078343999882,0.22195454286666666
Full Model,2025-07-28,50,0.7251706074309459,0.8541918038300107,0.9369582717120647,0.29695902116
Full Model,2025-07-29,60,0.6673256638511056,0.7942835017382339,0.45427825953811407,0.19832284333333333
Full Model,2025-07-30,83,0.5836772504873138,0.7276583683644833,0.10702851389994822,0.39912524503253016
Full Model,2025-07-31,76,0.5789081606006484,0.7222680707090922,0.08838029628570535,0.3274385226710526
Full Model,2025-08-01,37,0.5491992309770688,0.6897075939717984,-0.0745088876904668,0.1672128076216216
Full Model,2025-08-04,38,0.6058576173783521,0.7172842071224312,-0.10145948068575787,0.13989550902631584
Full Model,2025-08-05,36,0.7467091934832272,0.901318310293721,-0.37487867526296115,0.29849342255555555
Full Model,2025-08-06,26,0.5830048846147707,0.6837131849544427,-0.14083578982032263,0.1274028228846154
Full Model,2025-08-07,36,0.5837241960108762,0.6736646943250643,-0.23988299361533588,-0.001981247094444444
Full Model,2025-08-08,26,0.5466640513060983,0.6490269709906383,-0.23521079500922218,-0.08143465161538462
Full Model,2025-08-11,34,0.5694260740202244,0.6865211167857231,-0.23858163461965673,-0.11990142965000003
Full Model,2025-08-12,40,0.6161948389711189,0.6927311110558854,-0.021510404278524225,0.0557402271375
Full Model,2025-08-13,40,0.5181828439436821,0.6581710793025505,-0.02204249510541558,-0.004406504175000002
Full Model,2025-08-14,47,0.6105035074746049,0.7168615283506008,-0.03528345249434735,0.020123914931914882
Full Model,2025-08-15,47,0.5972816088075886,0.7652666585179162,0.10872904429251844,-0.027708280755319146
Full Model,2025-08-18,48,0.8108090813858632,0.9813475245681945,0.29530955080796656,0.15561086197916665
Full Model,2025-08-19,32,0.9586228483097675,1.0799641842649097,0.6199170272011543,-0.17455396147187502
Full Model,2025-08-20,22,0.833859268706437,0.9407208121955849,0.5331480452282862,-0.21167811477272724
