experiment,split,feature_count,input_dim,edge_types,min_corr_weight,mean_selected_edges_per_snapshot,mae,rmse,note
corr_threshold_0_30,test,59,118,0,0.3,9029.117147787156,0.009245278313755989,0.012535865418612957,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_threshold_0_15,test,59,118,0,0.15,12297.52152217507,0.009247791022062302,0.012563454918563366,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_plus_parent_subsidiary,test,59,118,"0,1,2",0.15,12303.52152217507,0.009248265065252781,0.012565461918711662,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_plus_same_industry,test,59,118,"0,4",0.15,13639.52152217507,0.009310279041528702,0.012658822350203991,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
full_graph,test,59,118,"0,1,2,3,4,5",0.15,13695.62626498158,0.009310559369623661,0.012662154622375965,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_plus_news_co_mention,test,59,118,"0,5",0.15,12297.62626498158,0.009314760565757751,0.012644397094845772,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_plus_same_group,test,59,118,"0,3",0.15,12347.52152217507,0.009325142949819565,0.012657294049859047,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_threshold_0_20,test,59,118,0,0.2,11444.043137620669,0.009329362772405148,0.012654118239879608,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_threshold_0_20,validation,59,118,0,0.2,11444.043137620669,0.010697358287870884,0.01515126135200262,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_threshold_0_30,validation,59,118,0,0.3,9029.117147787156,0.010701208375394344,0.015125385485589504,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_threshold_0_15,validation,59,118,0,0.15,12297.52152217507,0.010710771195590496,0.015169489197432995,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_plus_parent_subsidiary,validation,59,118,"0,1,2",0.15,12303.52152217507,0.010711113922297955,0.0151717159897089,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_plus_same_group,validation,59,118,"0,3",0.15,12347.52152217507,0.010711518116295338,0.015160289593040943,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_plus_news_co_mention,validation,59,118,"0,5",0.15,12297.62626498158,0.01071441825479269,0.015142497606575489,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
full_graph,validation,59,118,"0,1,2,3,4,5",0.15,13695.62626498158,0.010719573125243187,0.015197155997157097,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
corr_plus_same_industry,validation,59,118,"0,4",0.15,13639.52152217507,0.01072325836867094,0.01519685983657837,thresholds below 0.15 require rebuilding graph snapshots because current snapshots were created with CORR_THRESHOLD=0.15
