model,ticker,n,mae,rmse,mean_y_true,mean_y_pred
Full Model,AAA,16,0.7265482107476542,0.8606248384840888,-0.2202084199525416,0.4315194356874999
Full Model,ABB,53,0.6002875692482534,0.7639342883848824,-0.2885943305907103,-0.1713116240754716
Full Model,ACB,63,0.6114900688241582,0.7828511128785637,-0.1154287962154263,-0.0767653340365079
Full Model,ACL,6,1.1165940413525262,1.1910362806032435,0.5735800315936407,0.0581448566666666
Full Model,ACV,24,0.6007931812715143,0.7020802899763661,-0.0738842698434988,0.3135964656666666
Full Model,AGG,16,0.7689649735720927,0.8645945397000474,-0.0657214815728366,0.0669594665
Full Model,AGR,11,0.5926125998912602,0.7156176792453962,0.1931342590938914,-0.0368784681818182
Full Model,ANV,17,0.6647927578676988,0.8308405691704555,-0.0364463780732715,-0.3565872424117647
Full Model,APH,12,0.7033999367253106,0.8662714864025641,0.0823335823758194,0.5928141050000001
Full Model,AST,10,0.788731140784076,0.8379567737891189,0.0008154105395078,0.2153553102
Full Model,BAF,24,0.6825004338677582,0.8626867886776394,0.0471944621143241,0.3631427821666667
Full Model,BCM,39,0.5218746440681904,0.6294139877685384,-0.1235773253899354,0.1024186395410256
Full Model,BFC,7,0.5583000590417372,0.6270330477960563,-0.201708721263068,0.1556432185714285
Full Model,BID,60,0.4521864752317887,0.5579823894388173,-0.0875479367561638,-0.1111562648399999
Full Model,BMP,16,0.7287826567887219,0.8348811823851463,-0.1555960352998227,0.2888928843125
Full Model,BSI,18,0.6268484250517602,0.769334018269937,0.0111983927587668,0.0958177566666666
Full Model,BSR,48,0.6781044457076182,0.849658425289876,-0.0604368184382716,-0.08532898030625
Full Model,BWE,31,0.4562909225915204,0.5573525573633719,-0.0180054504063821,0.2161679949258064
Full Model,C4G,7,0.5328572387350463,0.6812625533473536,-0.428054894719805,0.0600647671428571
Full Model,CMG,29,0.5456094415175419,0.6352374210240558,-0.1221968549592741,0.1259419146896551
Full Model,CRE,20,0.6763930322474543,0.831362801862161,0.1562562558799982,-0.0674545914
Full Model,CSV,18,0.8460875441185478,0.9827152486128656,-0.0723525476124551,0.3999374344888888
Full Model,CTD,38,0.6769303624412736,0.7640827494206753,0.0415893094123978,0.0882336725526315
Full Model,CTG,60,0.5621270106327626,0.6469251409477893,0.0190911068891485,-0.0612531975666666
Full Model,CTS,32,0.7707874030388486,0.8966269334709301,-0.0101250694133341,-0.1351286425
Full Model,DBC,32,0.5496983438694616,0.6759261906386486,-0.1126350158592686,-0.030905246828125
Full Model,DBD,26,0.4298536070493667,0.5350125869158135,-0.0450945672614929,0.3049568431153846
Full Model,DCM,17,0.4273488200253897,0.5365578221286184,-0.056842092095929,0.1156493524705882
Full Model,DGC,21,0.5939434136906342,0.6774429763313214,0.1087691961299805,0.1702513009523809
Full Model,DGW,35,0.4771824780526324,0.576533984140052,-0.0242711584482874,-0.1698332554285714
Full Model,DHG,11,0.52941454442305,0.5713351259910714,0.1614551820199598,0.5331908136363636
Full Model,DIG,41,0.7017727003721748,0.8288758263156244,-0.0085845518539228,-0.0903104040365853
Full Model,DMC,9,0.514358801828298,0.5898232846415669,-0.1928451524840461,0.1544711278888889
Full Model,DPG,21,0.4917183947746095,0.6562724278889314,-0.2676063109011877,-0.0863820640714286
Full Model,DPM,35,0.6696572354939266,0.8090284057342534,-0.0289152082587991,0.1854594933399999
Full Model,DXG,45,0.6855532497136594,0.8210580118314941,0.0490912044420838,0.0484636758222222
Full Model,EIB,31,0.5425077201226325,0.6701777504085028,-0.0799182631796406,-0.1594810092258065
Full Model,ELC,24,0.5980982579830806,0.705659815896055,-0.2852666120209808,0.1334393840833333
Full Model,FCN,21,0.623905984165524,0.7125223364542776,-0.0492713444289707,-0.0150002961285714
Full Model,FMC,12,0.3561945027813307,0.4384154657240278,0.0375686846673488,0.3115118766666666
Full Model,FOX,17,0.8715025016590514,0.9352127996311472,-0.4043013334602994,0.1506240766470588
Full Model,FPT,48,0.571033026935967,0.6593551230875406,-0.0835304286253328,0.2260033783333333
Full Model,FRT,20,0.5108372382342367,0.6642737224920849,-0.1145795594900846,0.0791446294999999
Full Model,FTS,25,0.6198129753068762,0.7206683185778336,-0.0707383234333247,0.0334091015199999
Full Model,GAS,30,0.4676680725912472,0.5961222600223376,0.1102857644669711,0.3228358976
Full Model,GEG,19,0.713577738331465,0.7622437153296396,-0.0899184612851394,0.1209358967631579
Full Model,GEX,34,0.802179300283712,0.9664365040465572,-0.1032741731580565,-0.1025405429705882
Full Model,GMD,28,0.4156938017339829,0.5463186965459582,-0.1598420555570296,-0.0414945080714285
Full Model,GVR,18,0.6244900429781267,0.7110618050230849,-0.1156016559236579,0.1976690163888889
Full Model,HAH,33,0.6961077436990063,0.7989674606679018,-0.0354983269265203,-0.0345571105757575
Full Model,HCM,87,0.5995255522953641,0.7112054463182214,-0.1043998879626735,-0.0435041522580459
Full Model,HDB,67,0.6912847020932341,0.8353251840100503,0.0152176434535588,-0.2447315265522388
Full Model,HDG,22,0.6389485726872035,0.775876164168903,-0.1541251492771235,-0.0298540791818181
Full Model,HHV,30,0.5085286442253866,0.6005244237200725,-0.1236216720193624,0.0905339201666666
Full Model,HPG,37,0.3495500577641861,0.4517396935193657,-0.059781149023439,0.0809051671891892
Full Model,HSG,19,0.5747740778437805,0.6725943516793118,-0.242810759889452,0.0879277278947368
Full Model,IDI,11,0.9273047687152493,1.0186263684713524,-0.3988761652938344,0.2198079730909091
Full Model,IJC,31,0.4919678197084438,0.5753267197668854,-0.1421869752868529,0.013816661548387
Full Model,IMP,15,0.394669256307417,0.4874031425231108,0.0475099806984265,0.1885445144
Full Model,JVC,18,0.8214222638616445,0.9202377464274714,0.0089275739673111,-0.0242590126111111
Full Model,KBC,31,0.6443115257620958,0.7673749217242146,-0.0252332018327809,-0.0440287376129032
Full Model,KDC,25,0.3753244686276543,0.5129723657143364,-0.0848643424734473,-0.2841318223999999
Full Model,KDH,34,0.7293724984147769,0.8585034018177305,-0.1073073306504417,0.0931496682941176
Full Model,LCG,21,0.5973564059318035,0.7188268334103665,0.2304365010488601,0.0491769144285714
Full Model,LPB,52,0.5448540718553989,0.669141467408457,-0.0529900911586502,-0.1887529676538461
Full Model,LTG,2,0.1758166864265442,0.1780171026066467,0.6483634114265442,0.4725467249999999
Full Model,MBB,60,0.5804732997142931,0.7078262178916863,-0.0278455181357761,-0.19397424637
Full Model,MSB,65,0.6441207024541848,0.7522380292492319,-0.0822460001334548,-0.0168796019738461
Full Model,MSN,62,0.5570034174314077,0.6753575372022157,-0.1739082616423407,-0.0451356822177419
Full Model,MWG,39,0.5755525272249858,0.6554772253297778,0.0463878360027686,-0.0534027704820512
Full Model,NKG,16,0.3136543535950329,0.3885878771806113,-0.1314168229000643,0.0245613701249999
Full Model,NLG,54,0.6595364605576913,0.8004483947860197,0.0303691721486824,-0.1478159728333333
Full Model,NT2,10,0.3079346587223411,0.436717913556707,0.1862348452210426,0.0494933759
Full Model,NTL,23,0.4402588174628556,0.5482964020298888,-0.0382780541220437,0.0859412311304348
Full Model,OCB,53,0.5212939270527249,0.6668518948854609,-0.1508549473529576,-0.1721736932641509
Full Model,ORS,21,0.6231662506978153,0.8014299352752933,-0.1077390660842259,-0.3034007452380953
Full Model,PAN,25,0.6746265468906049,0.7747643200088719,-0.3603714601323008,-0.126025349612
Full Model,PC1,29,0.7080077940391315,0.788159727677819,-0.1150254612338954,-0.0538656581034482
Full Model,PDR,50,0.6651834967853035,0.7816414576235552,-0.145396803766489,-0.03864006058
Full Model,PGV,17,0.6550154952747174,0.7467223125151247,-0.1549484407638802,0.0605081552352941
Full Model,PHR,14,0.6625551472674047,0.758272066329133,-0.3960995950869151,0.1902868723571428
Full Model,PLX,22,0.3821216710723907,0.4709765389895615,0.1019798393615267,0.1937611506045454
Full Model,PNJ,34,0.4971467557436111,0.6525390693190539,-0.0853992549373823,-0.0128289994411764
Full Model,POW,26,0.4302873769123205,0.5342691206124945,0.0177732330675308,0.1279370678076923
Full Model,PPC,12,0.4225410690980167,0.5046467873828346,0.0176267015049234,0.2687639145
Full Model,PVD,29,0.4558452415959871,0.5672892675180876,-0.071664174504835,-0.0091739138965517
Full Model,PVS,14,0.7161010164055389,0.7923565966484427,-0.1028792272721018,0.1327770025714285
Full Model,QNS,22,0.3330644414219804,0.3988304977101273,-0.0236463203433562,0.1551266707272727
Full Model,REE,40,0.4729142114283469,0.5592794091834027,0.0130752993747591,0.2049944694749999
Full Model,SAB,14,0.3393458896670682,0.4021745013436363,0.0200235615151801,0.1298485339285714
Full Model,SCR,20,0.6841626709299751,0.8292932951254711,-0.1965055456385016,0.1292354822999999
Full Model,SCS,15,0.426313561291181,0.4950761907853899,-0.0598790153861045,0.21962724816
Full Model,SGN,16,0.4857152415471322,0.6027296969415695,0.1940515467431396,0.40864001875
Full Model,SHB,70,0.4824506977597934,0.6342840111936285,-0.1570007982530764,-0.1413010497357143
Full Model,SIP,16,0.686437282352413,0.7705924769156209,-0.2728146605950314,0.2430356526875
Full Model,SSB,59,0.5381640197426288,0.6938242831101599,-0.1671690679376282,-0.2086396110508474
Full Model,SSI,58,0.6640710186480858,0.7719790613877937,0.055831613597171,0.0491352628724137
Full Model,STB,52,0.6198141466950232,0.7372786911230766,0.1096955936115521,0.0063848026153846
Full Model,SZC,32,0.5284066933311582,0.6255078616572639,-0.311966141249286,-0.0050690005093749
Full Model,TCB,61,0.5064523382218901,0.6324658814807027,0.0329396120600829,-0.0666834971229508
Full Model,TPB,70,0.5562381492071011,0.7130720032947305,-0.1499117953170623,-0.1095962618414285
Full Model,TRA,21,0.5717710635065987,0.6661270423745091,0.0621869074779429,0.2839462287142857
Full Model,VCB,42,0.4518156045052778,0.5360242732638686,-0.0611416397704964,0.0519644089285714
Full Model,VCG,24,0.7454576356544497,0.8309574025570929,-0.1093571490297714,0.1760108653333333
Full Model,VCI,37,0.5889902256703655,0.7432464293503315,0.0208675433453675,0.0756444704864864
Full Model,VGI,13,0.5267472062144924,0.6203344535994418,-0.1857892773472345,0.1747612961538461
Full Model,VHC,19,0.6338742044046145,0.7149738076312789,-0.0960906980265128,-0.0257598652631578
Full Model,VHM,34,0.7161793169551628,0.8710150776625563,-0.0580874702290577,0.0829352973529412
Full Model,VIB,49,0.4962164167311284,0.6404283509635214,-0.0561770855589313,-0.0913091438571428
Full Model,VIC,59,0.6612689977597349,0.7904205201497342,-0.0225148524110347,-0.0392442769322033
Full Model,VIX,26,0.8145308612596859,0.9391324579612448,-0.302213235758245,0.0567733273461538
Full Model,VJC,36,0.8677898440151525,0.992177444125785,0.009089508300854,-0.0057777702444444
Full Model,VND,43,0.806620823394894,0.9306286374018644,-0.2226935966416847,0.1191820347209302
Full Model,VNM,36,0.4104821928446343,0.5263343484553928,0.001480056076414,-0.0011048546666666
Full Model,VPB,65,0.7146357293789696,0.8851098363961357,0.0570190036024611,-0.2223916586861538
Full Model,VRE,27,0.5635273058764587,0.7175075248817617,-0.0279212044896903,0.223186587111111
Full Model,VSC,38,0.7305248637114462,0.8785207621457722,0.0400755752466226,-0.1955257460131578
Full Model,VTP,19,0.5748212166475483,0.7275595944278618,0.1753264672466014,0.5923170611578947
GNN + News,AAA,16,0.603976409593115,0.7290467435533133,-0.2202084199525416,0.289070860875
GNN + News,ABB,53,0.5878813909860873,0.7413461279442689,-0.2885943305907103,-0.1845984303018867
GNN + News,ACB,63,0.5919454475293432,0.7576525078333296,-0.1154287962154263,-0.0908024582380952
GNN + News,ACL,6,0.9603550880191932,1.0894035296411604,0.5735800315936407,0.1444476266666667
GNN + News,ACV,24,0.5170099412072594,0.616591992031175,-0.0738842698434988,0.1880883547916666
GNN + News,AGG,16,0.9255321381970928,0.9930916391952836,-0.0657214815728366,0.353251375
GNN + News,AGR,11,0.6447613739821694,0.7407587331577344,0.1931342590938914,0.1605995904545454
GNN + News,ANV,17,0.6307306369853459,0.8085340242673323,-0.0364463780732715,-0.3961736208235293
GNN + News,APH,12,0.5093616733919774,0.6380888820571531,0.0823335823758194,0.4031696383333333
GNN + News,AST,10,0.7515246673840761,0.8258580921165276,0.0008154105395078,0.095117376
GNN + News,BAF,24,0.5515398537915265,0.6991987678717337,0.0471944621143241,0.2700178904166666
GNN + News,BCM,39,0.4964880589027047,0.62455715319913,-0.1235773253899354,0.0191631603717948
GNN + News,BFC,7,0.6171085760417371,0.673934748472885,-0.201708721263068,0.1802625641428571
GNN + News,BID,60,0.4225953783179598,0.5352909663183055,-0.0875479367561638,-0.1078562259999999
GNN + News,BMP,16,0.6833000350411814,0.8076926338805644,-0.1555960352998227,0.15786437625
GNN + News,BSI,18,0.5990257842392436,0.7373087424112001,0.0111983927587668,0.1893119341111111
GNN + News,BSR,48,0.6554180558716293,0.8275851423506595,-0.0604368184382716,-0.2069059872708333
GNN + News,BWE,31,0.4259475725322944,0.5165140172277113,-0.0180054504063821,0.2197261818032258
GNN + News,C4G,7,0.6003143618952288,0.6844680736976111,-0.428054894719805,0.0939587185714285
GNN + News,CMG,29,0.5167919238786607,0.5935965859593326,-0.1221968549592741,0.0188735989620689
GNN + News,CRE,20,0.7176522208826959,0.8183346010315337,0.1562562558799982,-0.2226620905
GNN + News,CSV,18,0.6924581707185479,0.7978850871704963,-0.0723525476124551,0.1904328358888888
GNN + News,CTD,38,0.6893207128728647,0.7758576989147129,0.0415893094123978,0.0592913666578947
GNN + News,CTG,60,0.5653468823355537,0.6468005539772547,0.0190911068891485,-0.1332106092
GNN + News,CTS,32,0.7390751170532339,0.8158882092654857,-0.0101250694133341,-0.0043243024062499
