model,split,source,n,mae,rmse,r2
Linear Regression,test,06_baseline_models,3638,0.5297497813007647,0.6505137775769809,0.12479528556588404
Random Forest,test,06_baseline_models,3638,0.5337274512549753,0.6520209291117771,0.12073512812685538
Rolling Volatility,test,06_baseline_models,3638,0.6026085510386469,0.7035965793888989,-0.02386828097327598
GNN + News,test,07_gnn_ablation_models,3638,0.5849257592378819,0.7154883581436257,-0.05877040529004818
Full Model,test,07_gnn_ablation_models,3638,0.5924167204961728,0.7243551453596607,-0.08517492229772405
Hybrid MLP-GAT,test,12_hybrid_mlp_gat,3638,0.5896052433939775,0.7311032133142586,-0.10548800712220663
GNN Correlation Only,test,06_baseline_models,3638,0.6197923672941967,0.7475266455104459,-0.15571301850621277
GNN + Relationship,test,07_gnn_ablation_models,3638,0.6213349997325108,0.7480146920510369,-0.15722259912191272
GNN Correlation Only,test,07_gnn_ablation_models,3638,0.6221268714542969,0.7495137127289722,-0.16186539235212538
Linear Regression,validation,06_baseline_models,3720,0.5235164424946679,0.6567163201358432,0.328840790292393
Random Forest,validation,06_baseline_models,3720,0.5503927297316145,0.6792468599035143,0.2819987265284206
GNN + News,validation,07_gnn_ablation_models,3720,0.560929163219081,0.7080939672718595,0.21971775568853424
Full Model,validation,07_gnn_ablation_models,3720,0.5844490624712239,0.7223274119531682,0.1880334681397774
Hybrid MLP-GAT,validation,12_hybrid_mlp_gat,3720,0.5746695669735529,0.7232787216955209,0.18589332972576633
GNN Correlation Only,validation,06_baseline_models,3720,0.6029957262064668,0.7292289565644556,0.17244332362862969
GNN Correlation Only,validation,07_gnn_ablation_models,3720,0.6066861448636379,0.7322900900560696,0.16548096028171677
GNN + Relationship,validation,07_gnn_ablation_models,3720,0.6103348078645989,0.7332701559912038,0.16324569585702042
Rolling Volatility,validation,06_baseline_models,3720,0.6792089542130031,0.8242351625165103,-0.057236654109296126
