article_id,ticker,company_name,is_primary,mention_count,relevance_score,company_sentiment,mapping_method,matched_text
N000001,MSN,Masan Group,1,1,1.0,1.0,ticker_match,MSN
N000002,TCB,Techcombank,1,1,0.95,0.0,company_name_match,Techcombank
N000003,BAF,BAF Viet Nam,1,1,1.0,0.0,ticker_match,BAF
N000004,FMC,FMC,1,1,1.0,1.0,ticker_match,FMC
N000005,MWG,Mobile World,1,1,0.8,-0.8,source_ticker,MWG
N000006,NTL,Phat Dat,1,1,0.8,0.0,source_ticker,NTL
N000007,SAB,Sabeco,1,1,0.8,0.0,source_ticker,SAB
N000008,VJC,Vietjet,1,1,0.95,0.95,company_name_match,Vietjet
N000009,ABB,ABBANK,1,1,1.0,0.0,ticker_match,ABB
N000010,ABB,ABBANK,1,1,0.95,0.0,company_name_match,ABBANK
N000011,ACB,ACB,1,1,1.0,0.0,ticker_match,ACB
N000012,BID,BIDV,1,1,1.0,0.0,ticker_match,BID
N000013,BID,BIDV,1,1,1.0,0.0,ticker_match,BID
N000014,CTD,Coteccons,1,1,1.0,-1.0,ticker_match,CTD
N000015,EIB,Eximbank,1,1,0.95,-0.95,company_name_match,Eximbank
N000016,ELC,ELC,1,1,1.0,0.0,ticker_match,ELC
N000017,FCN,Fecon,1,1,1.0,0.0,ticker_match,FCN
N000018,FMC,FMC,1,1,1.0,-1.0,ticker_match,FMC
N000019,GVR,VRG,1,1,1.0,0.0,ticker_match,GVR
N000020,GVR,VRG,1,1,1.0,0.0,ticker_match,GVR
N000021,GVR,VRG,1,1,1.0,0.0,ticker_match,GVR
N000022,JVC,JVC,1,1,1.0,0.0,ticker_match,JVC
N000023,JVC,JVC,1,1,1.0,0.0,ticker_match,JVC
N000024,JVC,JVC,1,1,1.0,0.0,ticker_match,JVC
N000025,KDH,Khang Dien,1,1,1.0,0.0,ticker_match,KDH
N000026,NLG,Nam Long,1,1,1.0,0.0,ticker_match,NLG
N000027,NLG,Nam Long,1,1,1.0,0.0,ticker_match,NLG
N000028,NLG,Nam Long,1,1,1.0,0.0,ticker_match,NLG
N000029,NT2,NT2,1,1,1.0,1.0,ticker_match,NT2
N000030,PGV,PV Power,1,1,1.0,0.0,ticker_match,PGV
N000031,PGV,PV Power,1,1,1.0,0.0,ticker_match,PGV
N000032,PGV,PV Power,1,1,1.0,0.0,ticker_match,PGV
N000033,PGV,PV Power,1,1,1.0,0.0,ticker_match,PGV
N000034,PGV,PV Power,1,1,1.0,0.0,ticker_match,PGV
N000035,PGV,PV Power,1,1,1.0,0.0,ticker_match,PGV
N000036,PGV,PV Power,1,1,1.0,0.0,ticker_match,PGV
N000037,PGV,PV Power,1,1,1.0,0.0,ticker_match,PGV
N000038,PGV,PV Power,1,1,1.0,0.0,ticker_match,PGV
N000039,PGV,PV Power,1,1,1.0,0.0,ticker_match,PGV
N000040,PGV,PV Power,1,1,1.0,0.0,ticker_match,PGV
N000041,PGV,PV Power,1,1,1.0,0.0,ticker_match,PGV
N000042,PGV,PV Power,1,1,1.0,0.0,ticker_match,PGV
N000043,PGV,PV Power,1,1,1.0,1.0,ticker_match,PGV
N000044,POW,PV Power,1,1,1.0,-1.0,ticker_match,POW
N000045,PVS,PTSC,1,1,1.0,1.0,ticker_match,PVS
N000046,SCR,SCR,1,1,1.0,0.0,ticker_match,SCR
N000047,SHB,SHB,1,1,1.0,1.0,ticker_match,SHB
N000048,SSB,SSB,1,1,1.0,1.0,ticker_match,SSB
N000049,SSI,SSI Securities,1,1,1.0,1.0,ticker_match,SSI
N000050,STB,Sacombank,1,1,0.8,0.8,source_ticker,STB
N000051,SZC,Sonadezi Chau Duc,1,1,1.0,0.0,ticker_match,SZC
N000052,VCB,Vietcombank,1,1,1.0,-1.0,ticker_match,VCB
N000053,VIX,VIX Securities,1,1,1.0,0.0,ticker_match,VIX
N000054,VIX,VIX Securities,1,1,1.0,0.0,ticker_match,VIX
N000055,VPB,VPBank,1,1,0.95,0.0,company_name_match,VPBank
N000056,AAA,AAA,1,1,1.0,0.0,ticker_match,AAA
N000057,AGG,An Gia,1,1,0.95,0.95,company_name_match,An Gia
N000058,ANV,Nam Viet,1,1,1.0,0.0,ticker_match,ANV
N000059,APH,APH,1,1,1.0,0.0,ticker_match,APH
N000060,BCM,Becamex IDC,1,1,1.0,0.0,ticker_match,BCM
N000061,BMP,Binh Minh Plastic,1,1,1.0,0.0,ticker_match,BMP
N000062,CMG,CMC Corporation,1,1,1.0,0.0,ticker_match,CMG
N000063,DIG,DIC Corp,1,1,1.0,0.0,ticker_match,DIG
N000064,DXG,Dat Xanh,1,1,1.0,0.0,ticker_match,DXG
N000065,ELC,ELC,1,1,1.0,0.0,ticker_match,ELC
N000066,FMC,FMC,1,1,1.0,1.0,ticker_match,FMC
N000067,GEX,GELEX,1,1,0.8,0.8,source_ticker,GEX
N000068,GVR,VRG,1,1,1.0,-1.0,ticker_match,GVR
N000069,HCM,HSC,1,1,1.0,0.0,ticker_match,HCM
N000070,HDB,HDBank,1,1,1.0,0.0,ticker_match,HDB
N000071,HSG,Hoa Sen Group,1,1,0.8,0.8,source_ticker,HSG
N000072,JVC,JVC,1,1,1.0,0.0,ticker_match,JVC
N000073,MSB,MSB,1,1,1.0,0.0,ticker_match,MSB
N000074,OCB,OCB,1,1,1.0,0.0,ticker_match,OCB
N000075,PDR,Phat Dat Realty,1,1,1.0,0.0,ticker_match,PDR
