model,event_trading_date,n,mae,rmse,mean_y_true,mean_y_pred
Full Model,2025-07-21,48,0.5222270594261064,0.6274335414069556,0.046077619617184006,0.17722423497916664
Full Model,2025-07-22,30,0.916361218594702,1.0286490900653642,0.9995107176713646,0.18283497173333335
Full Model,2025-07-23,30,0.9861999592851,1.1421254464321873,0.9202205285429954,0.042567923099999995
Full Model,2025-07-24,31,1.03394045194345,1.1581427668237063,0.9343916881949671,0.052239749419354824
Full Model,2025-07-25,45,0.8859220996923979,1.0419368713379378,0.7596078343999882,0.03713071299999998
Full Model,2025-07-28,50,0.9191456199209944,1.0259537547434856,0.9369582717120647,0.16465495409
Full Model,2025-07-29,60,0.7195275627916611,0.8657560207658382,0.45427825953811407,0.31224440789999997
Full Model,2025-07-30,83,0.563109616389801,0.7147210204037006,0.10702851389994822,0.4096577562891567
Full Model,2025-07-31,76,0.7238876271195968,0.8734364067356808,0.08838029628570535,0.33389682890526323
Full Model,2025-08-01,37,0.4442520562939093,0.5411551088914975,-0.0745088876904668,0.07263186899999999
Full Model,2025-08-04,38,0.5898561177403574,0.7129165051181067,-0.10145948068575787,0.021994337342105263
Full Model,2025-08-05,36,0.5748822330466297,0.686212295421527,-0.37487867526296115,0.07441188955555555
Full Model,2025-08-06,26,0.6814356062539685,0.8272023630814215,-0.14083578982032263,0.1119522436653846
Full Model,2025-08-07,36,0.6089031954354996,0.7156516689662168,-0.23988299361533588,-0.022313755361111118
Full Model,2025-08-08,26,0.654968760970755,0.7874640344086551,-0.23521079500922218,-0.25762158348076925
Full Model,2025-08-11,34,0.5095655567017551,0.6753929363793982,-0.23858163461965673,-0.14453280891176473
Full Model,2025-08-12,40,0.7829999040823774,0.874540851455068,-0.021510404278524225,-0.026632013350000004
Full Model,2025-08-13,40,0.6274503791163577,0.7590118488167297,-0.02204249510541558,-0.028438666212499998
Full Model,2025-08-14,47,0.5821972695312948,0.7259597157099759,-0.03528345249434735,0.13533742231914891
Full Model,2025-08-15,47,0.692783022037548,0.861400483867569,0.10872904429251844,-0.05302266987234045
Full Model,2025-08-18,48,0.8532949131521917,1.008437439721836,0.29530955080796656,-0.02634004542291667
Full Model,2025-08-19,32,0.9423870747715786,1.0742036237261698,0.6199170272011543,-0.18856016181250002
Full Model,2025-08-20,22,0.8727795356616734,1.0190222135810547,0.5331480452282862,-0.02603390038636364
Full Model,2025-08-21,27,0.6763065381913697,0.8242266636823508,0.43002829935263703,-0.06286919281481482
Full Model,2025-08-22,22,0.7815921949053646,0.9142869560059903,0.021112949841401794,-0.027674139818181818
Full Model,2025-08-25,35,0.6743999400388853,0.8268905813290331,-0.38995374560888324,0.16320848472571428
Full Model,2025-08-26,29,1.0339671668464083,1.1670383854012802,-0.8668567743794672,0.09334941435862068
Full Model,2025-08-27,48,0.7362745093668552,0.8180437710637428,-0.37079950018475455,-0.014283657874999994
Full Model,2025-08-28,44,0.6168618640931596,0.7481723235509735,-0.20006302898135883,0.04595064797272727
Full Model,2025-08-29,68,0.5976821864453156,0.7468687719676401,-0.1453050631166929,0.06670568793235294
Full Model,2025-09-03,57,0.5832325935091525,0.691667408573507,-0.23750580723086992,-0.02224197048070175
Full Model,2025-09-04,33,0.5094944312051478,0.6470450377407181,-0.2706651750839118,-0.1375926332121212
Full Model,2025-09-05,40,0.596599844593755,0.7387611508215226,-0.26589589260984214,-0.1962327197
Full Model,2025-09-08,34,0.6865169182517066,0.8029237168150729,-0.692036332014729,-0.12208968755882352
Full Model,2025-09-09,34,0.776800163220435,0.9425143054864218,-0.583147019668318,0.009028309782352932
Full Model,2025-09-10,15,0.8250943671284818,0.9374291762878926,-0.5063832828154167,-0.20068256333333334
Full Model,2025-09-11,24,0.9119016781237063,1.0717162160132654,-0.7523090887504319,-0.11871566772916668
Full Model,2025-09-12,35,0.6414757205545618,0.7732914577110203,-0.5365998666201319,-0.17180546848571432
Full Model,2025-09-15,26,0.6547827583587723,0.7359458133175368,-0.6407614733593968,-0.18557979691153845
Full Model,2025-09-16,24,0.6124306426537304,0.8301852122931,-0.5739597231925776,-0.20707084806249998
Full Model,2025-09-17,26,0.5776873583935107,0.6484963100943456,-0.603710324718402,-0.27384051230769235
Full Model,2025-09-18,30,0.38050696450779686,0.44835555669267874,-0.5061139052112897,-0.2981279500032866
Full Model,2025-09-19,27,0.46782706751000236,0.5749824045899299,-0.46342689792315167,-0.13129940503703702
Full Model,2025-09-22,32,0.6039644487302896,0.7117594990696485,-0.50593942462001,-0.07576695984374998
Full Model,2025-09-23,20,0.730446334674177,0.801436597037884,-0.5915107115637511,-0.14197565998
Full Model,2025-09-24,18,0.4464071812763314,0.5949523529078341,-0.6660241770247618,-0.3841268865
Full Model,2025-09-25,23,0.6528332872272314,0.7964122257243075,-0.5250428372427173,0.010551536695652173
Full Model,2025-09-26,30,0.5322595157168903,0.6452759590036141,-0.4215045191347599,-0.12241098216666664
Full Model,2025-09-29,39,0.7658934822715082,0.873145180473744,0.32395532497992885,-0.1802403199692308
Full Model,2025-09-30,25,0.7337135025465146,0.868126195381506,0.2917064583301544,-0.24362770597599998
Full Model,2025-10-01,25,0.5702758485389342,0.6654008963298149,0.2020943395793438,-0.013083847599999997
Full Model,2025-10-02,29,0.6694082726033749,0.7847950305869199,0.21972038982243375,-0.022096852724137927
Full Model,2025-10-03,25,0.4286931891267756,0.5507965927500318,0.175862440764904,-0.020202258520000013
Full Model,2025-10-06,32,0.49614240108716,0.5596422400519018,-0.26870964182307944,-0.025088563437500003
Full Model,2025-10-07,25,0.4930351134403493,0.6935516150978178,-0.175495589338243,0.18511436692
Full Model,2025-10-08,28,0.415144756782349,0.573646775998532,-0.17656355976526225,-0.20736687677499996
Full Model,2025-10-09,27,0.5740052062945752,0.7046898368670698,-0.17065722467722716,-0.040282778296296284
Full Model,2025-10-10,29,0.5195618769606593,0.6195629029513653,-0.13070322923233796,-0.08834200827586206
Full Model,2025-10-13,25,1.03551064327011,1.2166958283085543,0.7078819409012794,-0.17926185028
Full Model,2025-10-14,21,1.0076405922791156,1.1012081584592464,0.9612667716684795,-0.008748568904761903
Full Model,2025-10-15,32,0.9323298652092766,1.092499427322113,0.8789658676832914,-0.039482521071875
