model,ticker,n,mae,rmse,mean_y_true,mean_y_pred
Full Model,AAA,16,0.7265482107476542,0.8606248384840888,-0.2202084199525416,0.43151943568749995
Full Model,ABB,53,0.6002875692482534,0.7639342883848824,-0.2885943305907103,-0.17131162407547168
Full Model,ACB,63,0.6114900688241582,0.7828511128785637,-0.11542879621542636,-0.07676533403650794
Full Model,ACL,6,1.1165940413525262,1.1910362806032437,0.5735800315936407,0.05814485666666669
Full Model,ACV,24,0.6007931812715143,0.7020802899763661,-0.07388426984349887,0.31359646566666666
Full Model,AGG,16,0.7689649735720927,0.8645945397000474,-0.06572148157283664,0.0669594665
Full Model,AGR,11,0.5926125998912602,0.7156176792453962,0.19313425909389148,-0.0368784681818182
Full Model,ANV,17,0.6647927578676988,0.8308405691704555,-0.036446378073271585,-0.3565872424117647
Full Model,APH,12,0.7033999367253106,0.8662714864025641,0.08233358237581949,0.5928141050000001
Full Model,AST,10,0.788731140784076,0.8379567737891189,0.0008154105395078659,0.2153553102
Full Model,BAF,24,0.6825004338677582,0.8626867886776394,0.047194462114324175,0.3631427821666667
Full Model,BCM,39,0.5218746440681904,0.6294139877685384,-0.12357732538993542,0.10241863954102563
Full Model,BFC,7,0.5583000590417372,0.6270330477960563,-0.20170872126306807,0.15564321857142854
Full Model,BID,60,0.4521864752317887,0.5579823894388173,-0.08754793675616383,-0.11115626483999999
Full Model,BMP,16,0.7287826567887219,0.8348811823851463,-0.1555960352998227,0.2888928843125
Full Model,BSI,18,0.6268484250517602,0.769334018269937,0.01119839275876681,0.09581775666666666
Full Model,BSR,48,0.6781044457076182,0.849658425289876,-0.06043681843827168,-0.08532898030625001
Full Model,BWE,31,0.45629092259152043,0.5573525573633719,-0.018005450406382146,0.21616799492580646
Full Model,C4G,7,0.5328572387350463,0.6812625533473536,-0.428054894719805,0.06006476714285714
Full Model,CMG,29,0.5456094415175419,0.6352374210240558,-0.12219685495927415,0.12594191468965518
Full Model,CRE,20,0.6763930322474543,0.831362801862161,0.1562562558799982,-0.06745459140000003
Full Model,CSV,18,0.8460875441185478,0.9827152486128657,-0.07235254761245516,0.39993743448888885
Full Model,CTD,38,0.6769303624412736,0.7640827494206753,0.041589309412397836,0.08823367255263158
Full Model,CTG,60,0.5621270106327626,0.6469251409477893,0.01909110688914856,-0.061253197566666674
Full Model,CTS,32,0.7707874030388486,0.8966269334709301,-0.010125069413334138,-0.1351286425
Full Model,DBC,32,0.5496983438694616,0.6759261906386486,-0.1126350158592686,-0.030905246828125007
Full Model,DBD,26,0.4298536070493667,0.5350125869158135,-0.045094567261492975,0.3049568431153846
Full Model,DCM,17,0.42734882002538976,0.5365578221286184,-0.05684209209592903,0.11564935247058825
Full Model,DGC,21,0.5939434136906342,0.6774429763313214,0.10876919612998054,0.17025130095238095
Full Model,DGW,35,0.4771824780526324,0.576533984140052,-0.02427115844828742,-0.16983325542857142
Full Model,DHG,11,0.52941454442305,0.5713351259910714,0.1614551820199598,0.5331908136363636
Full Model,DIG,41,0.7017727003721748,0.8288758263156244,-0.008584551853922808,-0.09031040403658536
Full Model,DMC,9,0.514358801828298,0.5898232846415669,-0.1928451524840461,0.15447112788888892
Full Model,DPG,21,0.49171839477460955,0.6562724278889314,-0.2676063109011877,-0.0863820640714286
Full Model,DPM,35,0.6696572354939266,0.8090284057342534,-0.028915208258799133,0.18545949333999998
Full Model,DXG,45,0.6855532497136594,0.8210580118314941,0.049091204442083834,0.04846367582222222
Full Model,EIB,31,0.5425077201226325,0.6701777504085028,-0.07991826317964061,-0.1594810092258065
Full Model,ELC,24,0.5980982579830806,0.705659815896055,-0.28526661202098086,0.13343938408333333
Full Model,FCN,21,0.623905984165524,0.7125223364542776,-0.0492713444289707,-0.015000296128571426
Full Model,FMC,12,0.3561945027813307,0.43841546572402784,0.03756868466734887,0.31151187666666663
Full Model,FOX,17,0.8715025016590514,0.9352127996311473,-0.4043013334602994,0.15062407664705882
Full Model,FPT,48,0.571033026935967,0.6593551230875406,-0.08353042862533282,0.2260033783333333
Full Model,FRT,20,0.5108372382342367,0.6642737224920849,-0.11457955949008465,0.07914462949999998
Full Model,FTS,25,0.6198129753068762,0.7206683185778336,-0.0707383234333247,0.03340910151999999
Full Model,GAS,30,0.46766807259124726,0.5961222600223376,0.11028576446697116,0.32283589760000003
Full Model,GEG,19,0.713577738331465,0.7622437153296396,-0.0899184612851394,0.12093589676315793
Full Model,GEX,34,0.802179300283712,0.9664365040465573,-0.10327417315805659,-0.10254054297058822
Full Model,GMD,28,0.4156938017339829,0.5463186965459582,-0.1598420555570296,-0.041494508071428564
Full Model,GVR,18,0.6244900429781267,0.7110618050230849,-0.11560165592365795,0.1976690163888889
Full Model,HAH,33,0.6961077436990063,0.7989674606679018,-0.03549832692652037,-0.03455711057575757
Full Model,HCM,87,0.5995255522953641,0.7112054463182214,-0.10439988796267359,-0.04350415225804599
Full Model,HDB,67,0.6912847020932341,0.8353251840100503,0.015217643453558876,-0.2447315265522388
Full Model,HDG,22,0.6389485726872035,0.775876164168903,-0.15412514927712354,-0.02985407918181818
Full Model,HHV,30,0.5085286442253866,0.6005244237200725,-0.12362167201936244,0.09053392016666667
Full Model,HPG,37,0.3495500577641861,0.4517396935193657,-0.05978114902343903,0.0809051671891892
Full Model,HSG,19,0.5747740778437805,0.6725943516793118,-0.24281075988945208,0.08792772789473684
Full Model,IDI,11,0.9273047687152491,1.0186263684713524,-0.3988761652938344,0.21980797309090913
Full Model,IJC,31,0.4919678197084438,0.5753267197668854,-0.14218697528685292,0.013816661548387097
Full Model,IMP,15,0.39466925630741706,0.4874031425231108,0.04750998069842658,0.18854451440000003
Full Model,JVC,18,0.8214222638616445,0.9202377464274714,0.008927573967311118,-0.024259012611111117
Full Model,KBC,31,0.6443115257620958,0.7673749217242146,-0.025233201832780914,-0.044028737612903227
Full Model,KDC,25,0.37532446862765434,0.5129723657143364,-0.08486434247344732,-0.28413182239999996
Full Model,KDH,34,0.7293724984147769,0.8585034018177305,-0.10730733065044179,0.09314966829411767
Full Model,LCG,21,0.5973564059318035,0.7188268334103665,0.2304365010488601,0.04917691442857143
Full Model,LPB,52,0.5448540718553989,0.669141467408457,-0.05299009115865024,-0.18875296765384614
Full Model,LTG,2,0.17581668642654422,0.17801710260664674,0.6483634114265442,0.47254672499999995
Full Model,MBB,60,0.5804732997142931,0.7078262178916863,-0.027845518135776123,-0.19397424637
Full Model,MSB,65,0.6441207024541848,0.7522380292492319,-0.0822460001334548,-0.016879601973846154
Full Model,MSN,62,0.5570034174314077,0.6753575372022157,-0.1739082616423407,-0.045135682217741946
Full Model,MWG,39,0.5755525272249858,0.6554772253297778,0.04638783600276861,-0.05340277048205129
Full Model,NKG,16,0.3136543535950329,0.3885878771806113,-0.1314168229000643,0.024561370124999996
Full Model,NLG,54,0.6595364605576913,0.8004483947860197,0.03036917214868245,-0.14781597283333334
Full Model,NT2,10,0.30793465872234116,0.436717913556707,0.18623484522104264,0.049493375900000004
Full Model,NTL,23,0.4402588174628556,0.5482964020298888,-0.0382780541220437,0.0859412311304348
Full Model,OCB,53,0.5212939270527249,0.6668518948854609,-0.15085494735295762,-0.1721736932641509
Full Model,ORS,21,0.6231662506978153,0.8014299352752933,-0.10773906608422597,-0.3034007452380953
Full Model,PAN,25,0.6746265468906049,0.7747643200088719,-0.36037146013230087,-0.126025349612
Full Model,PC1,29,0.7080077940391315,0.788159727677819,-0.1150254612338954,-0.053865658103448275
Full Model,PDR,50,0.6651834967853035,0.7816414576235552,-0.14539680376648903,-0.03864006058
Full Model,PGV,17,0.6550154952747174,0.7467223125151247,-0.15494844076388023,0.060508155235294105
Full Model,PHR,14,0.6625551472674047,0.758272066329133,-0.39609959508691517,0.19028687235714287
Full Model,PLX,22,0.38212167107239076,0.47097653898956154,0.10197983936152676,0.1937611506045454
Full Model,PNJ,34,0.49714675574361117,0.6525390693190539,-0.0853992549373823,-0.012828999441176468
Full Model,POW,26,0.4302873769123205,0.5342691206124945,0.017773233067530852,0.1279370678076923
Full Model,PPC,12,0.42254106909801675,0.5046467873828346,0.017626701504923407,0.26876391450000003
Full Model,PVD,29,0.4558452415959871,0.5672892675180876,-0.07166417450483503,-0.009173913896551726
Full Model,PVS,14,0.7161010164055389,0.7923565966484427,-0.10287922727210182,0.13277700257142858
Full Model,QNS,22,0.33306444142198044,0.39883049771012735,-0.023646320343356234,0.15512667072727274
Full Model,REE,40,0.47291421142834694,0.5592794091834027,0.013075299374759198,0.20499446947499997
Full Model,SAB,14,0.33934588966706825,0.4021745013436363,0.020023561515180126,0.12984853392857143
Full Model,SCR,20,0.6841626709299751,0.8292932951254711,-0.19650554563850164,0.12923548229999998
Full Model,SCS,15,0.42631356129118103,0.49507619078538995,-0.05987901538610459,0.21962724816
Full Model,SGN,16,0.4857152415471322,0.6027296969415695,0.19405154674313962,0.40864001875
Full Model,SHB,70,0.4824506977597934,0.6342840111936285,-0.15700079825307642,-0.1413010497357143
Full Model,SIP,16,0.686437282352413,0.7705924769156209,-0.27281466059503146,0.2430356526875
Full Model,SSB,59,0.5381640197426288,0.6938242831101599,-0.1671690679376282,-0.20863961105084747
Full Model,SSI,58,0.6640710186480858,0.7719790613877937,0.05583161359717106,0.04913526287241379
Full Model,STB,52,0.6198141466950232,0.7372786911230766,0.10969559361155216,0.006384802615384618
Full Model,SZC,32,0.5284066933311582,0.6255078616572639,-0.311966141249286,-0.005069000509374996
Full Model,TCB,61,0.5064523382218901,0.6324658814807027,0.03293961206008297,-0.06668349712295082
Full Model,TPB,70,0.5562381492071011,0.7130720032947305,-0.1499117953170623,-0.10959626184142857
Full Model,TRA,21,0.5717710635065987,0.6661270423745091,0.06218690747794296,0.2839462287142857
Full Model,VCB,42,0.45181560450527786,0.5360242732638686,-0.061141639770496456,0.05196440892857143
Full Model,VCG,24,0.7454576356544497,0.8309574025570929,-0.10935714902977149,0.17601086533333332
Full Model,VCI,37,0.5889902256703655,0.7432464293503315,0.02086754334536759,0.07564447048648648
Full Model,VGI,13,0.5267472062144924,0.6203344535994418,-0.18578927734723458,0.17476129615384617
Full Model,VHC,19,0.6338742044046145,0.7149738076312789,-0.0960906980265128,-0.025759865263157888
Full Model,VHM,34,0.7161793169551628,0.8710150776625563,-0.058087470229057706,0.08293529735294121
Full Model,VIB,49,0.4962164167311284,0.6404283509635214,-0.05617708555893136,-0.09130914385714284
Full Model,VIC,59,0.6612689977597349,0.7904205201497342,-0.022514852411034753,-0.039244276932203385
Full Model,VIX,26,0.8145308612596859,0.9391324579612448,-0.302213235758245,0.05677332734615386
Full Model,VJC,36,0.8677898440151525,0.992177444125785,0.009089508300854098,-0.005777770244444451
Full Model,VND,43,0.806620823394894,0.9306286374018643,-0.2226935966416847,0.11918203472093021
Full Model,VNM,36,0.4104821928446343,0.5263343484553928,0.001480056076414043,-0.0011048546666666626
Full Model,VPB,65,0.7146357293789696,0.8851098363961357,0.05701900360246117,-0.22239165868615385
Full Model,VRE,27,0.5635273058764587,0.7175075248817617,-0.02792120448969031,0.22318658711111108
