model,split,input,graph,mae,rmse,note,source,price_features,news_features,relationship_edges,co_mention_edges,input_dim,baseline_mae,baseline_rmse,residual_alpha
Linear Regression,test,tabular price/news features,no,0.5297498106956482,0.650513768196106,baseline linear tabular model,06_baseline_models,,,,,,,,
Ridge Residual Hybrid GNN (MAE shrinkage),test,ridge baseline selected features + graph residual,signed top-k + ownership/value-chain/sector/news,0.5306817248258096,0.6560743782525529,Ridge baseline plus edge-type-aware graph residual attention; validation-MAE alpha regularized by fixed shrinkage factor,14_residual_hybrid_gnn,,,,,,0.531378184507746,0.6510805052365976,-0.1274999999999999
HistGBR,test,hist gradient boosting selected tabular features,none,0.5309081077575684,0.6543118357658386,Strong tabular branch: HistGradientBoostingRegressor baseline only,14_residual_hybrid_gnn,,,,,,0.5309081077575684,0.6543118357658386,0.0
HistGBR Residual Hybrid GNN (MAE shrinkage),test,hist gradient boosting selected tabular features + graph residual,signed top-k + ownership/value-chain/sector/news,0.5311796775984765,0.6593276279242601,HistGBR baseline plus edge-type-aware graph residual attention; validation-MAE alpha regularized by fixed shrinkage factor,14_residual_hybrid_gnn,,,,,,0.5309081172274812,0.6543118105355462,-0.1274999999999999
Ridge Regression,test,ridge baseline selected features,none,0.5313781499862671,0.6510804891586304,Two-stage control branch: Ridge baseline only,14_residual_hybrid_gnn,,,,,,0.5313781499862671,0.6510804891586304,0.0
HistGBR Residual Hybrid GNN (R2 tuned),test,hist gradient boosting selected tabular features + graph residual,signed top-k + ownership/value-chain/sector/news,0.5335988502574535,0.6462473110597988,HistGBR baseline plus edge-type-aware graph residual attention; alpha tuned on validation R2,14_residual_hybrid_gnn,,,,,,0.5309081172274812,0.6543118105355462,0.3500000000000001
Ridge Residual Hybrid GNN (MAE tuned),test,ridge baseline selected features + graph residual,signed top-k + ownership/value-chain/sector/news,0.5336051498641153,0.674724931331955,Ridge baseline plus edge-type-aware graph residual attention; alpha tuned on validation MAE,14_residual_hybrid_gnn,,,,,,0.531378184507746,0.6510805052365976,-0.4249999999999999
Random Forest,test,tabular price/news features,no,0.5337274670600891,0.6520209312438965,nonlinear tabular ML baseline,06_baseline_models,,,,,,,,
HistGBR Residual Hybrid GNN (MAE tuned),test,hist gradient boosting selected tabular features + graph residual,signed top-k + ownership/value-chain/sector/news,0.5345740951080094,0.675156426123283,HistGBR baseline plus edge-type-aware graph residual attention; alpha tuned on validation MAE,14_residual_hybrid_gnn,,,,,,0.5309081172274812,0.6543118105355462,-0.4249999999999999
Ridge Residual Hybrid GNN (R2 tuned),test,ridge baseline selected features + graph residual,signed top-k + ownership/value-chain/sector/news,0.5355767357430682,0.6468393076806399,Ridge baseline plus edge-type-aware graph residual attention; alpha tuned on validation R2,14_residual_hybrid_gnn,,,,,,0.531378184507746,0.6510805052365976,0.2250000000000001
Rolling Volatility,test,historical volatility only,no,0.6026085019111633,0.7035965919494629,prediction = rolling_vol_20 at T-1,06_baseline_models,,,,,,,,
Hybrid MLP-GAT,test,full node features + graph attention neighbors,signed top-k + ownership/value-chain/sector/news,0.6158997154656363,0.7540331716231827,Hybrid self MLP with edge-type-aware neighbor attention; weighted MAE loss,12_hybrid_mlp_gat,,,,,,,,
GNN Correlation Only,test,price features only,price_correlation only,0.6197924017906189,0.7475266456604004,one-hop weighted correlation message passing; no news/relationship edges,06_baseline_models,,,,,,,,
GNN + Relationship,test,,,0.6213350296020508,0.7480146884918213,,07_gnn_ablation_models,Yes,No,Yes,No,102.0,,,
GNN Correlation Only (Ablation),test,,,0.6221268773078918,0.7495136857032776,,07_gnn_ablation_models,Yes,No,No,No,102.0,,,
GNN + News,test,,,0.6457023620605469,0.7824199199676514,,07_gnn_ablation_models,Yes,Yes,No,No,278.0,,,
Full Model,test,,,0.6464289426803589,0.7900280952453613,,07_gnn_ablation_models,Yes,Yes,Yes,Yes,280.0,,,
HistGBR Residual Hybrid GNN (MAE shrinkage),train,hist gradient boosting selected tabular features + graph residual,signed top-k + ownership/value-chain/sector/news,0.3853361935718421,0.4697582571959463,HistGBR baseline plus edge-type-aware graph residual attention; validation-MAE alpha regularized by fixed shrinkage factor,14_residual_hybrid_gnn,,,,,,0.3858699034375471,0.4668850830489698,-0.1274999999999999
HistGBR,train,hist gradient boosting selected tabular features,none,0.3858699202537536,0.4668850898742676,Strong tabular branch: HistGradientBoostingRegressor baseline only,14_residual_hybrid_gnn,,,,,,0.3858699202537536,0.4668850898742676,0.0
HistGBR Residual Hybrid GNN (MAE tuned),train,hist gradient boosting selected tabular features + graph residual,signed top-k + ownership/value-chain/sector/news,0.387241250224342,0.4814707821507715,HistGBR baseline plus edge-type-aware graph residual attention; alpha tuned on validation MAE,14_residual_hybrid_gnn,,,,,,0.3858699034375471,0.4668850830489698,-0.4249999999999999
HistGBR Residual Hybrid GNN (R2 tuned),train,hist gradient boosting selected tabular features + graph residual,signed top-k + ownership/value-chain/sector/news,0.391345240394661,0.4658548967056398,HistGBR baseline plus edge-type-aware graph residual attention; alpha tuned on validation R2,14_residual_hybrid_gnn,,,,,,0.3858699034375471,0.4668850830489698,0.3500000000000001
Ridge Residual Hybrid GNN (MAE shrinkage),train,ridge baseline selected features + graph residual,signed top-k + ownership/value-chain/sector/news,0.4561360675797095,0.5569366182350463,Ridge baseline plus edge-type-aware graph residual attention; validation-MAE alpha regularized by fixed shrinkage factor,14_residual_hybrid_gnn,,,,,,0.4568012269571328,0.552921050503717,-0.1274999999999999
Ridge Regression,train,ridge baseline selected features,none,0.4568012356758117,0.5529210567474365,Two-stage control branch: Ridge baseline only,14_residual_hybrid_gnn,,,,,,0.4568012356758117,0.5529210567474365,0.0
Ridge Residual Hybrid GNN (MAE tuned),train,ridge baseline selected features + graph residual,signed top-k + ownership/value-chain/sector/news,0.4584168702297651,0.5726361313849351,Ridge baseline plus edge-type-aware graph residual attention; alpha tuned on validation MAE,14_residual_hybrid_gnn,,,,,,0.4568012269571328,0.552921050503717,-0.4249999999999999
Ridge Residual Hybrid GNN (R2 tuned),train,ridge baseline selected features + graph residual,signed top-k + ownership/value-chain/sector/news,0.4601355566091878,0.5499617239034444,Ridge baseline plus edge-type-aware graph residual attention; alpha tuned on validation R2,14_residual_hybrid_gnn,,,,,,0.4568012269571328,0.552921050503717,0.2250000000000001
Linear Regression,validation,tabular price/news features,no,0.5235164761543274,0.6567163467407227,baseline linear tabular model,06_baseline_models,,,,,,,,
Ridge Residual Hybrid GNN (MAE tuned),validation,ridge baseline selected features + graph residual,signed top-k + ownership/value-chain/sector/news,0.5317106080170854,0.6833185587968003,Ridge baseline plus edge-type-aware graph residual attention; alpha tuned on validation MAE,14_residual_hybrid_gnn,,,,,,0.5365149281863376,0.6690553250096726,-0.4249999999999999
Ridge Residual Hybrid GNN (MAE shrinkage),validation,ridge baseline selected features + graph residual,signed top-k + ownership/value-chain/sector/news,0.5340733198464741,0.6718925490183015,Ridge baseline plus edge-type-aware graph residual attention; validation-MAE alpha regularized by fixed shrinkage factor,14_residual_hybrid_gnn,,,,,,0.5365149281863376,0.6690553250096726,-0.1274999999999999
Ridge Regression,validation,ridge baseline selected features,none,0.536514937877655,0.6690553426742554,Two-stage control branch: Ridge baseline only,14_residual_hybrid_gnn,,,,,,0.536514937877655,0.6690553426742554,0.0
HistGBR Residual Hybrid GNN (MAE tuned),validation,hist gradient boosting selected tabular features + graph residual,signed top-k + ownership/value-chain/sector/news,0.5392932819369732,0.6913791310313283,HistGBR baseline plus edge-type-aware graph residual attention; alpha tuned on validation MAE,14_residual_hybrid_gnn,,,,,,0.5424349289725711,0.6788888567219532,-0.4249999999999999
HistGBR Residual Hybrid GNN (MAE shrinkage),validation,hist gradient boosting selected tabular features + graph residual,signed top-k + ownership/value-chain/sector/news,0.5408926398590128,0.6816624657285187,HistGBR baseline plus edge-type-aware graph residual attention; validation-MAE alpha regularized by fixed shrinkage factor,14_residual_hybrid_gnn,,,,,,0.5424349289725711,0.6788888567219532,-0.1274999999999999
Ridge Residual Hybrid GNN (R2 tuned),validation,ridge baseline selected features + graph residual,signed top-k + ownership/value-chain/sector/news,0.5423556074900574,0.6671324950651226,Ridge baseline plus edge-type-aware graph residual attention; alpha tuned on validation R2,14_residual_hybrid_gnn,,,,,,0.5365149281863376,0.6690553250096726,0.2250000000000001
HistGBR,validation,hist gradient boosting selected tabular features,none,0.5424349308013916,0.6788888573646545,Strong tabular branch: HistGradientBoostingRegressor baseline only,14_residual_hybrid_gnn,,,,,,0.5424349308013916,0.6788888573646545,0.0
HistGBR Residual Hybrid GNN (R2 tuned),validation,hist gradient boosting selected tabular features + graph residual,signed top-k + ownership/value-chain/sector/news,0.549045617549728,0.6756678623865987,HistGBR baseline plus edge-type-aware graph residual attention; alpha tuned on validation R2,14_residual_hybrid_gnn,,,,,,0.5424349289725711,0.6788888567219532,0.3500000000000001
Random Forest,validation,tabular price/news features,no,0.550392746925354,0.6792468428611755,nonlinear tabular ML baseline,06_baseline_models,,,,,,,,
GNN Correlation Only,validation,price features only,price_correlation only,0.6029956936836243,0.7292289733886719,one-hop weighted correlation message passing; no news/relationship edges,06_baseline_models,,,,,,,,
GNN Correlation Only (Ablation),validation,,,0.6066861152648926,0.7322900891304016,,07_gnn_ablation_models,Yes,No,No,No,102.0,,,
GNN + Relationship,validation,,,0.6103348135948181,0.7332701683044434,,07_gnn_ablation_models,Yes,No,Yes,No,102.0,,,
Hybrid MLP-GAT,validation,full node features + graph attention neighbors,signed top-k + ownership/value-chain/sector/news,0.6156249868566555,0.7674822306276813,Hybrid self MLP with edge-type-aware neighbor attention; weighted MAE loss,12_hybrid_mlp_gat,,,,,,,,
