model,category,n,mae,rmse,mean_y_true,mean_y_pred
Full Model,capital_issuance,183,0.6223601261055042,0.7487018021367505,-0.0218024912183402,-0.0369900415245901
Full Model,debt_bond,439,0.5685686754494104,0.7080260606581551,-0.119938575903326,-0.124144021779271
Full Model,dividend,151,0.5634922184813626,0.6723824404513267,-0.0390725361479335,-0.0242011331827814
Full Model,earnings,573,0.6270798416438488,0.7560858168866099,-0.0143680729221448,0.2479663881366492
Full Model,leadership,349,0.5769762137443626,0.7097241827597806,-0.0768325555503213,-0.0446474585664756
Full Model,legal_regulatory,86,0.6459304922316075,0.7909178430933206,-0.1173114962984136,0.0034397091976744
Full Model,ma_ownership,431,0.5699133606366905,0.6926248324737019,-0.0802561370661296,-0.0294328299651972
Full Model,market_industry,403,0.5961975517199456,0.7248587228042795,-0.0461888198414933,0.0112592979014888
Full Model,other,877,0.5876866675197358,0.7242571350870235,-0.0877916601788095,-0.0099058655278791
Full Model,project_contract,146,0.6102616656973056,0.7503952059893657,0.0274406718871594,-0.0805828700835616
GNN + News,capital_issuance,183,0.6324298275370493,0.7645759086549597,-0.0218024912183402,-0.1620693822240436
GNN + News,debt_bond,439,0.545566905695729,0.6837888716051679,-0.119938575903326,-0.1311271798654897
GNN + News,dividend,151,0.5574080518570845,0.7055213016273706,-0.0390725361479335,-0.1293563116582781
GNN + News,earnings,573,0.6070788549042452,0.7262844950076569,-0.0143680729221448,0.1757333174577661
GNN + News,leadership,349,0.5766588741286355,0.7011740411461864,-0.0768325555503213,-0.0714239564544412
GNN + News,legal_regulatory,86,0.5590256249026988,0.6867937340127277,-0.1173114962984136,-0.0504869184127906
GNN + News,ma_ownership,431,0.5663822109713832,0.6942797750551053,-0.0802561370661296,-0.057585965762645
GNN + News,market_industry,403,0.6006356089336529,0.7281612662344373,-0.0461888198414933,-0.0412116007910669
GNN + News,other,877,0.5895204907086193,0.7207224105059721,-0.0877916601788095,-0.0327863416388825
GNN + News,project_contract,146,0.6040416293441361,0.7566874542874081,0.0274406718871594,-0.1734921040630136
GNN + Relationship,capital_issuance,183,0.652646146678717,0.7648885242302798,-0.0218024912183402,0.0619654030792349
GNN + Relationship,debt_bond,439,0.5910378532268141,0.7306340432694515,-0.119938575903326,0.0025272860659908
GNN + Relationship,dividend,151,0.6516430749007099,0.7671584862219586,-0.0390725361479335,0.1201133798107947
GNN + Relationship,earnings,573,0.6257088389175702,0.7570041896898865,-0.0143680729221448,0.2001688118230367
GNN + Relationship,leadership,349,0.6077952862568277,0.736514046323065,-0.0768325555503213,0.0532000123120343
GNN + Relationship,legal_regulatory,86,0.671641930167657,0.7994361324142476,-0.1173114962984136,0.1469829605325581
GNN + Relationship,ma_ownership,431,0.618815483146376,0.7388694579083622,-0.0802561370661296,0.0646320620415313
GNN + Relationship,market_industry,403,0.6277905543994027,0.7555382683684314,-0.0461888198414933,0.0639397279426799
GNN + Relationship,other,877,0.6275645734761978,0.7539054802297668,-0.0877916601788095,0.1164296261979475
GNN + Relationship,project_contract,146,0.5796071172095777,0.6865988575585993,0.0274406718871594,0.1179796378842465
GNN Correlation Only,capital_issuance,366,0.6660056679914422,0.7741533030822809,-0.0218024912183402,0.0646926906438524
GNN Correlation Only,debt_bond,878,0.5898476950034898,0.7355708317050645,-0.119938575903326,-0.0103646470957858
GNN Correlation Only,dividend,302,0.6531383625524834,0.770929023451707,-0.0390725361479335,0.1060951066708609
GNN Correlation Only,earnings,1146,0.6222727205156966,0.7533690013266211,-0.0143680729221448,0.182689261422075
GNN Correlation Only,leadership,698,0.5985622925072291,0.730880477655201,-0.0768325555503213,0.0499424179301719
GNN Correlation Only,legal_regulatory,172,0.6791207089181011,0.7965568657839605,-0.1173114962984136,0.1526490610883721
GNN Correlation Only,ma_ownership,862,0.6274245226756007,0.7467716959088391,-0.0802561370661296,0.0900854786673434
GNN Correlation Only,market_industry,806,0.6239914332109013,0.7503191891905342,-0.0461888198414933,0.0537600669656575
GNN Correlation Only,other,1754,0.6267285932142103,0.7548193603995922,-0.0877916601788095,0.1070624637703341
GNN Correlation Only,project_contract,292,0.576785234079492,0.6836868248512268,0.0274406718871594,0.0940815593404109
Linear Regression,capital_issuance,183,0.5748290528552871,0.6941416407447073,-0.0218024912183402,-0.1846303471251366
Linear Regression,debt_bond,439,0.4995945938348527,0.6296071071353255,-0.119938575903326,-0.2455031409473804
Linear Regression,dividend,151,0.5187312196009662,0.6530932268510293,-0.0390725361479335,-0.2079075694272848
Linear Regression,earnings,573,0.5317671502355013,0.6303258671068391,-0.0143680729221448,-0.0676640211713787
Linear Regression,leadership,349,0.5271385245707784,0.6350094321233469,-0.0768325555503213,-0.1489537629415472
Linear Regression,legal_regulatory,86,0.5561148195976682,0.6849304919649409,-0.1173114962984136,-0.1368578527509302
Linear Regression,ma_ownership,431,0.5275257518105134,0.6613269564063189,-0.0802561370661296,-0.2095219376584687
Linear Regression,market_industry,403,0.5525034080452235,0.6825718307210396,-0.0461888198414933,-0.1938137310096774
Linear Regression,other,877,0.5206629322396552,0.6384972675819393,-0.0877916601788095,-0.1538709512213683
Linear Regression,project_contract,146,0.5564512750283638,0.6941811336080836,0.0274406718871594,-0.1934128849412328
Random Forest,capital_issuance,183,0.5915347917079532,0.7098357155187018,-0.0218024912183402,-0.1864365304568305
Random Forest,debt_bond,439,0.501348754313073,0.6185046334361565,-0.119938575903326,-0.2110233054461503
Random Forest,dividend,151,0.5028280285270691,0.6247120581227046,-0.0390725361479335,-0.1501364762715231
Random Forest,earnings,573,0.5374740079156206,0.6505527159154828,-0.0143680729221448,-0.1267225662821117
Random Forest,leadership,349,0.5259420730072588,0.6367624912380974,-0.0768325555503213,-0.1617482608045845
Random Forest,legal_regulatory,86,0.5702765967645604,0.6983368575964132,-0.1173114962984136,-0.1476210092558139
Random Forest,ma_ownership,431,0.5363802260095685,0.6548075070927429,-0.0802561370661296,-0.1791659992798144
Random Forest,market_industry,403,0.5594207421487585,0.6877807467520015,-0.0461888198414933,-0.1771189839035484
Random Forest,other,877,0.5249960563364803,0.6401647094136427,-0.0877916601788095,-0.1539105039746636
Random Forest,project_contract,146,0.5466596581638045,0.6761997976341539,0.0274406718871594,-0.1587258336643835
Rolling Volatility,capital_issuance,183,0.6417787764610419,0.7404601205173456,-0.0218024912183402,0.0228469406825136
Rolling Volatility,debt_bond,439,0.6025040828413434,0.7072267009982371,-0.119938575903326,0.0224743385722095
Rolling Volatility,dividend,151,0.5837392427671396,0.6820350035733989,-0.0390725361479335,0.0210009432986755
Rolling Volatility,earnings,573,0.6033905830932612,0.6984757608095096,-0.0143680729221448,0.0221232321443281
Rolling Volatility,leadership,349,0.5797528698462404,0.6786502012242893,-0.0768325555503213,0.0214704487538681
Rolling Volatility,legal_regulatory,86,0.6507678920802494,0.751624024444968,-0.1173114962984136,0.0216696117186046
Rolling Volatility,ma_ownership,431,0.5920027355955263,0.688637850273061,-0.0802561370661296,0.0229050144162413
Rolling Volatility,market_industry,403,0.6281091480182518,0.7329525613096303,-0.0461888198414933,0.0231398829384615
Rolling Volatility,other,877,0.599944908895619,0.7044511564450985,-0.0877916601788095,0.021886475495553
Rolling Volatility,project_contract,146,0.5734591051977795,0.6716457052296327,0.0274406718871594,0.021738040619863
