model,split,source,n,mae,rmse,r2
HistGBR Residual Hybrid GNN (R2 tuned),test,14_residual_hybrid_gnn,3638,0.5335988502526213,0.6462473110545601,0.1362378920505516
Ridge Residual Hybrid GNN (R2 tuned),test,14_residual_hybrid_gnn,3638,0.5355767356770995,0.6468393076672553,0.13465466395049241
Linear Regression,test,06_baseline_models,3638,0.5297497813007647,0.6505137775769809,0.12479528556588404
Ridge Regression,test,14_residual_hybrid_gnn,3638,0.5313781845026561,0.6510805052571702,0.12326966439250298
Random Forest,test,06_baseline_models,3638,0.5337274512549753,0.6520209291117771,0.12073512812685538
HistGBR,test,14_residual_hybrid_gnn,3638,0.5309081172181959,0.6543118104866307,0.11454566381952813
Ridge Residual Hybrid GNN (MAE shrinkage),test,14_residual_hybrid_gnn,3638,0.5306817246400335,0.656074378189921,0.1097688120476833
HistGBR Residual Hybrid GNN (MAE shrinkage),test,14_residual_hybrid_gnn,3638,0.5311796775535162,0.6593276279310993,0.1009182152986442
Ridge Residual Hybrid GNN (MAE tuned),test,14_residual_hybrid_gnn,3638,0.5336051499526051,0.6747249315388747,0.05843530466968305
HistGBR Residual Hybrid GNN (MAE tuned),test,14_residual_hybrid_gnn,3638,0.5345740950625063,0.6751564260536503,0.05723063624034319
Rolling Volatility,test,06_baseline_models,3638,0.6026085510386469,0.7035965793888989,-0.02386828097327598
GNN Correlation Only,test,06_baseline_models,3638,0.6197923672941967,0.7475266455104459,-0.15571301850621277
GNN + Relationship,test,07_gnn_ablation_models,3638,0.6213349997325108,0.7480146920510369,-0.15722259912191272
GNN Correlation Only (Ablation),test,07_gnn_ablation_models,3638,0.6221268714542969,0.7495137127289722,-0.16186539235212538
Hybrid MLP-GAT,test,12_hybrid_mlp_gat,3638,0.615899715518808,0.7540331717040482,-0.1759193963790191
GNN + News,test,07_gnn_ablation_models,3638,0.645702324945811,0.7824198702140371,-0.26612444125930246
Full Model,test,07_gnn_ablation_models,3638,0.64642895074112,0.7900280960196806,-0.2908676675405846
HistGBR Residual Hybrid GNN (R2 tuned),train,14_residual_hybrid_gnn,16347,0.39134524045422425,0.46585489676306874,0.377946026858907
HistGBR,train,14_residual_hybrid_gnn,16347,0.38586990342647964,0.46688508306154264,0.3751917784941228
HistGBR Residual Hybrid GNN (MAE shrinkage),train,14_residual_hybrid_gnn,16347,0.3853361936403221,0.4697582572413746,0.36747807496437124
HistGBR Residual Hybrid GNN (MAE tuned),train,14_residual_hybrid_gnn,16347,0.38724125022850553,0.48147078216988987,0.33554340980175534
Ridge Residual Hybrid GNN (R2 tuned),train,14_residual_hybrid_gnn,16347,0.4601355565871917,0.5499617239097682,0.13305475715861115
Ridge Regression,train,14_residual_hybrid_gnn,16347,0.45680122692677266,0.5529210504971974,0.12369964522415544
Ridge Residual Hybrid GNN (MAE shrinkage),train,14_residual_hybrid_gnn,16347,0.45613606760292463,0.5569366182322409,0.11092523137320798
Ridge Residual Hybrid GNN (MAE tuned),train,14_residual_hybrid_gnn,16347,0.4584168701762482,0.5726361313704991,0.0600944097230639
Linear Regression,validation,06_baseline_models,3720,0.5235164424946679,0.6567163201358432,0.328840790292393
Ridge Residual Hybrid GNN (R2 tuned),validation,14_residual_hybrid_gnn,3720,0.5423556075658439,0.667132495105994,0.3073814387975021
Ridge Regression,validation,14_residual_hybrid_gnn,3720,0.5365149282032138,0.6690553249990466,0.3033831117978686
Ridge Residual Hybrid GNN (MAE shrinkage),validation,14_residual_hybrid_gnn,3720,0.5340733198194617,0.6718925490072816,0.29746237905326023
HistGBR Residual Hybrid GNN (R2 tuned),validation,14_residual_hybrid_gnn,3720,0.5490456176816371,0.6756678624843641,0.2895451866735813
HistGBR,validation,14_residual_hybrid_gnn,3720,0.5424349290393531,0.6788888567522475,0.28275538509924825
Random Forest,validation,06_baseline_models,3720,0.5503927297316145,0.6792468599035143,0.2819987265284206
HistGBR Residual Hybrid GNN (MAE shrinkage),validation,14_residual_hybrid_gnn,3720,0.5408926397646633,0.6816624656017972,0.27688278972317104
Ridge Residual Hybrid GNN (MAE tuned),validation,14_residual_hybrid_gnn,3720,0.5317106081218472,0.683318558801718,0.2733649072714348
HistGBR Residual Hybrid GNN (MAE tuned),validation,14_residual_hybrid_gnn,3720,0.5392932819432618,0.6913791310828625,0.25612070869477277
GNN Correlation Only,validation,06_baseline_models,3720,0.6029957262064668,0.7292289565644556,0.17244332362862969
GNN Correlation Only (Ablation),validation,07_gnn_ablation_models,3720,0.6066861448636379,0.7322900900560696,0.16548096028171677
GNN + Relationship,validation,07_gnn_ablation_models,3720,0.6103348078645989,0.7332701559912038,0.16324569585702042
Hybrid MLP-GAT,validation,12_hybrid_mlp_gat,3720,0.6156249869979009,0.76748223066303,0.08334355979217267
Rolling Volatility,validation,06_baseline_models,3720,0.6792089542130031,0.8242351625165103,-0.057236654109296126
GNN + News,validation,07_gnn_ablation_models,3720,0.6789491865668128,0.8352950190240239,-0.08579970432382678
Full Model,validation,07_gnn_ablation_models,3720,0.6785602293534997,0.845669362394935,-0.11293840587645043
